   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
6.862E+08    0.000E+00    1.018E+26    4.173E+03    2.347E+01    0.000E+00    6.405E+00    0.000E+00     *      99.9
6.855E+08    3.930E-14    1.018E+26    2.722E+03    5.766E-01    1.544E-08    4.028E+01    6.897E-113     r       4.5
6.848E+08    2.036E-13    1.018E+26    5.383E+03    1.060E+01    1.442E-07    2.216E+01    9.745E-91     r       2.7
6.845E+08    5.036E-13    1.018E+26    6.055E+03    2.896E+01    3.531E-07    3.008E+01    3.636E-87     r       7.9
6.843E+08    7.765E-13    1.018E+26    6.565E+03    4.569E+01    5.144E-07    3.062E+01    7.013E-85     r       5.5
6.842E+08    9.548E-13    1.018E+26    6.844E+03    5.662E+01    6.118E-07    3.041E+01    9.766E-84     r       5.1
6.842E+08    1.056E-12    1.018E+26    6.988E+03    6.283E+01    6.651E-07    3.024E+01    3.571E-83     r       5.0
6.842E+08    1.110E-12    1.018E+26    7.060E+03    6.613E+01    6.929E-07    3.014E+01    6.784E-83     r       5.0
6.842E+08    1.138E-12    1.018E+26    7.097E+03    6.784E+01    7.072E-07    3.009E+01    9.333E-83     r       4.9
6.841E+08    1.195E-12    1.018E+26    7.170E+03    7.135E+01    7.362E-07    2.998E+01    1.760E-82     r       4.9
6.841E+08    1.224E-12    1.018E+26    7.207E+03    7.316E+01    7.511E-07    2.992E+01    2.412E-82     r       4.9
6.841E+08    1.285E-12    1.018E+26    7.281E+03    7.688E+01    7.814E-07    2.980E+01    4.512E-82     r       4.9
6.841E+08    1.316E-12    1.018E+26    7.318E+03    7.880E+01    7.969E-07    2.974E+01    6.158E-82     r       4.9
6.841E+08    1.381E-12    1.018E+26    7.392E+03    8.276E+01    8.285E-07    2.962E+01    1.142E-81     r       4.8
6.841E+08    1.414E-12    1.018E+26    7.429E+03    8.479E+01    8.447E-07    2.955E+01    1.553E-81     r       4.8
6.841E+08    1.482E-12    1.018E+26    7.504E+03    8.898E+01    8.776E-07    2.942E+01    2.856E-81     r       4.8
6.840E+08    1.626E-12    1.018E+26    7.655E+03    9.786E+01    9.463E-07    2.915E+01    9.489E-81     r       4.8
6.840E+08    1.703E-12    1.018E+26    7.730E+03    1.025E+02    9.821E-07    2.902E+01    1.714E-80     r       4.8
6.839E+08    1.864E-12    1.018E+26    7.882E+03    1.125E+02    1.056E-06    2.874E+01    5.494E-80     r       4.7
6.839E+08    1.950E-12    1.018E+26    7.958E+03    1.177E+02    1.095E-06    2.860E+01    9.747E-80     r       4.7
6.839E+08    2.129E-12    1.018E+26    8.111E+03    1.288E+02    1.175E-06    2.832E+01    3.013E-79     r       4.7
6.839E+08    2.224E-12    1.018E+26    8.188E+03    1.346E+02    1.217E-06    2.818E+01    5.249E-79     r       4.7
6.838E+08    2.424E-12    1.018E+26    8.342E+03    1.469E+02    1.304E-06    2.790E+01    1.566E-78     r       4.7
6.838E+08    2.529E-12    1.018E+26    8.419E+03    1.533E+02    1.349E-06    2.776E+01    2.680E-78     r       4.7
6.838E+08    2.750E-12    1.018E+26    8.573E+03    1.669E+02    1.442E-06    2.749E+01    7.719E-78     r       4.7
6.837E+08    2.866E-12    1.018E+26    8.650E+03    1.740E+02    1.490E-06    2.735E+01    1.299E-77     r       4.7
6.837E+08    3.110E-12    1.018E+26    8.805E+03    1.890E+02    1.591E-06    2.708E+01    3.617E-77     r       4.7
6.837E+08    3.238E-12    1.018E+26    8.883E+03    1.969E+02    1.643E-06    2.694E+01    5.987E-77     r       4.7
6.836E+08    3.506E-12    1.018E+26    9.038E+03    2.134E+02    1.750E-06    2.668E+01    1.614E-76     r       4.6
6.836E+08    3.647E-12    1.018E+26    9.116E+03    2.221E+02    1.805E-06    2.655E+01    2.630E-76     r       4.6
6.836E+08    3.941E-12    1.018E+26    9.271E+03    2.403E+02    1.920E-06    2.629E+01    6.873E-76     r       4.6
6.835E+08    4.096E-12    1.018E+26    9.349E+03    2.498E+02    1.980E-06    2.616E+01    1.103E-75     r       4.6
6.835E+08    4.419E-12    1.018E+26    9.505E+03    2.697E+02    2.103E-06    2.591E+01    2.798E-75     r       4.6
6.835E+08    4.588E-12    1.018E+26    9.583E+03    2.801E+02    2.166E-06    2.579E+01    4.425E-75     r       4.6
6.834E+08    4.940E-12    1.018E+26    9.739E+03    3.018E+02    2.297E-06    2.554E+01    1.091E-74     r       4.6
6.834E+08    5.125E-12    1.018E+26    9.817E+03    3.132E+02    2.365E-06    2.542E+01    1.702E-74     r       4.6
6.834E+08    5.510E-12    1.018E+26    9.973E+03    3.369E+02    2.504E-06    2.519E+01    4.086E-74     r       4.6
6.833E+08    5.711E-12    1.018E+26    1.005E+04    3.493E+02    2.576E-06    2.507E+01    6.290E-74     r       4.6
6.833E+08    6.130E-12    1.018E+26    1.021E+04    3.751E+02    2.725E-06    2.484E+01    1.472E-73     r       4.6
6.833E+08    6.348E-12    1.018E+26    1.029E+04    3.886E+02    2.801E-06    2.473E+01    2.237E-73     r       4.6
6.832E+08    6.804E-12    1.018E+26    1.044E+04    4.167E+02    2.959E-06    2.451E+01    5.107E-73     r       4.6
6.832E+08    7.041E-12    1.018E+26    1.052E+04    4.313E+02    3.040E-06    2.440E+01    7.670E-73     r       4.6
6.832E+08    7.534E-12    1.018E+26    1.068E+04    4.618E+02    3.207E-06    2.419E+01    1.710E-72     r       4.6
