   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
8.757E+08    0.000E+00    8.637E+27    1.121E+04    9.846E+02    0.000E+00    2.344E-01    0.000E+00     *      99.9
8.748E+08    4.519E-14    8.637E+27    5.332E+03    1.724E+00    2.129E-08    4.981E+00    7.844E-92     r       2.8
8.740E+08    2.405E-13    8.637E+27    8.724E+03    2.983E+01    2.428E-07    6.234E+00    3.345E-78     r       3.7
8.735E+08    6.338E-13    8.637E+27    1.132E+04    8.656E+01    5.438E-07    4.787E+00    5.346E-72     r       3.8
8.733E+08    9.801E-13    8.637E+27    1.249E+04    1.366E+02    7.797E-07    4.524E+00    9.372E-70     r       4.5
8.732E+08    1.204E-12    8.637E+27    1.308E+04    1.689E+02    9.221E-07    4.403E+00    9.961E-69     r       4.6
8.732E+08    1.331E-12    8.637E+27    1.338E+04    1.872E+02    1.000E-06    4.346E+00    3.089E-68     r       4.6
8.731E+08    1.398E-12    8.637E+27    1.353E+04    1.970E+02    1.041E-06    4.317E+00    5.375E-68     r       4.6
8.731E+08    1.433E-12    8.637E+27    1.360E+04    2.020E+02    1.062E-06    4.304E+00    7.069E-68     r       4.6
8.731E+08    1.504E-12    8.637E+27    1.375E+04    2.123E+02    1.104E-06    4.276E+00    1.216E-67     r       4.6
8.731E+08    1.541E-12    8.637E+27    1.382E+04    2.176E+02    1.126E-06    4.263E+00    1.591E-67     r       4.6
8.730E+08    1.616E-12    8.637E+27    1.397E+04    2.285E+02    1.170E-06    4.236E+00    2.707E-67     r       4.6
8.730E+08    1.655E-12    8.637E+27    1.405E+04    2.342E+02    1.193E-06    4.222E+00    3.521E-67     r       4.6
8.730E+08    1.736E-12    8.637E+27    1.419E+04    2.458E+02    1.239E-06    4.196E+00    5.927E-67     r       4.6
8.729E+08    1.905E-12    8.637E+27    1.449E+04    2.703E+02    1.336E-06    4.145E+00    1.646E-66     r       4.6
8.729E+08    1.995E-12    8.637E+27    1.464E+04    2.833E+02    1.386E-06    4.120E+00    2.715E-66     r       4.6
8.729E+08    2.184E-12    8.637E+27    1.494E+04    3.107E+02    1.491E-06    4.071E+00    7.247E-66     r       4.6
8.728E+08    2.284E-12    8.637E+27    1.509E+04    3.252E+02    1.545E-06    4.048E+00    1.173E-65     r       4.6
8.728E+08    2.495E-12    8.637E+27    1.538E+04    3.557E+02    1.658E-06    4.001E+00    3.019E-65     r       4.6
8.728E+08    2.606E-12    8.637E+27    1.553E+04    3.718E+02    1.717E-06    3.978E+00    4.801E-65     r       4.6
8.727E+08    2.840E-12    8.637E+27    1.583E+04    4.057E+02    1.839E-06    3.933E+00    1.194E-64     r       4.6
8.727E+08    2.963E-12    8.637E+27    1.598E+04    4.236E+02    1.903E-06    3.912E+00    1.868E-64     r       4.6
8.726E+08    3.222E-12    8.637E+27    1.628E+04    4.611E+02    2.034E-06    3.869E+00    4.497E-64     r       4.6
8.726E+08    3.358E-12    8.637E+27    1.643E+04    4.808E+02    2.103E-06    3.848E+00    6.925E-64     r       4.6
8.725E+08    3.644E-12    8.637E+27    1.672E+04    5.223E+02    2.244E-06    3.807E+00    1.618E-63     r       4.6
8.725E+08    3.794E-12    8.637E+27    1.687E+04    5.441E+02    2.318E-06    3.787E+00    2.455E-63     r       4.6
8.725E+08    4.109E-12    8.637E+27    1.717E+04    5.898E+02    2.470E-06    3.748E+00    5.575E-63     r       4.6
8.724E+08    4.274E-12    8.637E+27    1.732E+04    6.137E+02    2.548E-06    3.728E+00    8.343E-63     r       4.6
8.724E+08    4.620E-12    8.637E+27    1.762E+04    6.639E+02    2.711E-06    3.691E+00    1.844E-62     r       4.6
8.723E+08    4.801E-12    8.637E+27    1.777E+04    6.902E+02    2.795E-06    3.672E+00    2.724E-62     r       4.6
8.723E+08    5.180E-12    8.637E+27    1.807E+04    7.452E+02    2.969E-06    3.636E+00    5.871E-62     r       4.6
8.723E+08    5.379E-12    8.637E+27    1.822E+04    7.740E+02    3.059E-06    3.618E+00    8.566E-62     r       4.6
8.722E+08    5.793E-12    8.637E+27    1.852E+04    8.341E+02    3.245E-06    3.583E+00    1.802E-61     r       4.6
8.722E+08    6.010E-12    8.637E+27    1.867E+04    8.656E+02    3.340E-06    3.566E+00    2.599E-61     r       4.6
8.721E+08    6.462E-12    8.637E+27    1.897E+04    9.313E+02    3.538E-06    3.532E+00    5.347E-61     r       4.6
8.721E+08    6.698E-12    8.637E+27    1.912E+04    9.655E+02    3.641E-06    3.516E+00    7.627E-61     r       4.6
8.720E+08    7.190E-12    8.637E+27    1.942E+04    1.037E+03    3.851E-06    3.483E+00    1.535E-60     r       4.6
8.720E+08    7.447E-12    8.637E+27    1.957E+04    1.074E+03    3.960E-06    3.467E+00    2.167E-60     r       4.6
8.720E+08    7.982E-12    8.637E+27    1.987E+04    1.152E+03    4.184E-06    3.436E+00    4.275E-60     r       4.6
8.719E+08    8.261E-12    8.637E+27    2.002E+04    1.193E+03    4.299E-06    3.421E+00    5.974E-60     r       4.6
8.719E+08    8.842E-12    8.637E+27    2.032E+04    1.277E+03    4.537E-06    3.391E+00    1.156E-59     r       4.6
8.719E+08    9.144E-12    8.637E+27    2.047E+04    1.321E+03    4.659E-06    3.376E+00    1.600E-59     r       4.6
8.718E+08    9.772E-12    8.637E+27    2.077E+04    1.413E+03    4.911E-06    3.347E+00    3.039E-59     r       4.6
8.718E+08    1.010E-11    8.637E+27    2.092E+04    1.460E+03    5.041E-06    3.332E+00    4.170E-59     r       4.6
8.717E+08    1.078E-11    8.637E+27    2.122E+04    1.559E+03    5.308E-06    3.304E+00    7.781E-59     r       4.6
8.717E+08    1.113E-11    8.637E+27    2.137E+04    1.610E+03    5.445E-06    3.290E+00    1.059E-58     r       4.6
8.716E+08    1.187E-11    8.637E+27    2.167E+04    1.717E+03    5.727E-06    3.263E+00    1.943E-58     r       4.6
8.716E+08    1.225E-11    8.637E+27    2.182E+04    1.773E+03    5.872E-06    3.249E+00    2.621E-58     r       4.6
