   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
1.340E+09    0.000E+00    1.308E+29    1.788E+04    2.694E+03    0.000E+00    7.315E-02    0.000E+00     *      99.9
1.339E+09    5.529E-14    1.308E+29    6.968E+03    1.954E+00    1.457E-08    1.465E+00    6.632E-85     r       2.3
1.338E+09    1.119E-13    1.308E+29    1.884E+04    7.885E+00    3.126E-08    1.152E-01    3.552E-63     c       1.3
1.337E+09    1.905E-13    1.308E+29    2.181E+04    1.614E+01    5.525E-08    1.106E-01    2.445E-60     r       4.7
1.337E+09    2.527E-13    1.308E+29    2.182E+04    2.269E+01    7.767E-08    1.346E-01    3.468E-60     *      99.9
1.336E+09    2.928E-13    1.308E+29    2.182E+04    2.691E+01    9.208E-08    1.492E-01    4.140E-60     *      99.9
1.336E+09    3.154E-13    1.308E+29    2.183E+04    2.930E+01    1.003E-07    1.573E-01    4.526E-60     *      99.9
1.336E+09    3.276E-13    1.308E+29    2.183E+04    3.058E+01    1.046E-07    1.615E-01    4.734E-60     *      99.9
1.336E+09    3.534E-13    1.308E+29    2.183E+04    3.330E+01    1.139E-07    1.705E-01    5.181E-60     *      99.9
1.336E+09    3.670E-13    1.308E+29    2.183E+04    3.474E+01    1.189E-07    1.751E-01    5.421E-60     *      99.9
1.336E+09    3.963E-13    1.308E+29    2.183E+04    3.784E+01    1.294E-07    1.850E-01    5.940E-60     *      99.9
1.336E+09    4.119E-13    1.308E+29    2.184E+04    3.948E+01    1.350E-07    1.902E-01    6.220E-60     *      99.9
1.336E+09    4.452E-13    1.308E+29    2.184E+04    4.299E+01    1.470E-07    2.011E-01    6.824E-60     *      99.9
1.336E+09    4.629E-13    1.308E+29    2.184E+04    4.487E+01    1.534E-07    2.068E-01    7.151E-60     *      99.9
1.336E+09    5.007E-13    1.308E+29    2.185E+04    4.886E+01    1.670E-07    2.188E-01    7.860E-60     *      99.9
1.336E+09    5.208E-13    1.308E+29    2.185E+04    5.098E+01    1.743E-07    2.251E-01    8.245E-60     *      99.9
1.336E+09    5.637E-13    1.308E+29    2.186E+04    5.552E+01    1.897E-07    2.383E-01    9.082E-60     *      99.9
1.336E+09    5.826E-13    1.308E+29    2.186E+04    5.752E+01    1.965E-07    2.441E-01    9.460E-60     *      99.9
1.336E+09    5.987E-13    1.308E+29    2.186E+04    5.922E+01    5.468E-09    4.594E-02    2.644E-61     *      99.9
1.335E+09    6.015E-13    1.308E+29    2.186E+04    5.952E+01    6.480E-09    4.768E-02    3.134E-61     *      99.9
1.335E+09    6.087E-13    1.308E+29    2.186E+04    6.029E+01    9.102E-09    5.195E-02    4.404E-61     *      99.9
1.334E+09    6.333E-13    1.308E+29    2.186E+04    6.289E+01    1.795E-08    6.490E-02    8.698E-61     *      99.9
1.333E+09    7.745E-13    1.308E+29    2.187E+04    7.790E+01    6.888E-08    1.246E-01    3.394E-60     *      99.9
1.332E+09    9.592E-13    1.308E+29    2.189E+04    9.760E+01    1.353E-07    1.891E-01    6.904E-60     *      99.9
1.332E+09    1.110E-12    1.308E+29    2.191E+04    1.137E+02    1.894E-07    2.362E-01    1.004E-59     *      99.9
1.332E+09    1.207E-12    1.308E+29    2.193E+04    1.241E+02    2.239E-07    2.647E-01    1.221E-59     *      99.9
1.332E+09    1.262E-12    1.308E+29    2.194E+04    1.299E+02    2.433E-07    2.802E-01    1.351E-59     *      99.9
1.332E+09    1.386E-12    1.308E+29    2.196E+04    1.432E+02    2.873E-07    3.142E-01    1.667E-59     r      88.3
1.332E+09    1.457E-12    1.308E+29    2.198E+04    1.507E+02    3.121E-07    3.327E-01    1.859E-59     r      75.7
1.332E+09    1.494E-12    1.308E+29    2.199E+04    1.547E+02    3.253E-07    3.423E-01    1.967E-59     r      69.9
1.331E+09    1.573E-12    1.308E+29    2.201E+04    1.632E+02    3.532E-07    3.624E-01    2.207E-59     r      64.5
