   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
7.033E+08    0.000E+00    3.371E+26    5.561E+03    7.561E+01    0.000E+00    2.366E+00    0.000E+00     *      99.9
7.026E+08    3.908E-14    3.371E+26    3.320E+03    8.235E-01    1.784E-08    2.258E+01    3.769E-106     r       3.9
7.019E+08    2.047E-13    3.371E+26    5.615E+03    1.514E+01    1.981E-07    2.466E+01    1.907E-89     r       3.5
7.016E+08    5.430E-13    3.371E+26    7.208E+03    4.446E+01    4.536E-07    1.997E+01    1.473E-82     r       4.0
7.014E+08    8.421E-13    3.371E+26    7.971E+03    7.042E+01    6.502E-07    1.874E+01    6.340E-80     r       4.5
7.013E+08    1.036E-12    3.371E+26    8.353E+03    8.722E+01    7.689E-07    1.821E+01    9.923E-79     r       4.6
7.012E+08    1.145E-12    3.371E+26    8.543E+03    9.673E+01    8.339E-07    1.795E+01    3.689E-78     r       4.6
7.012E+08    1.203E-12    3.371E+26    8.638E+03    1.018E+02    8.678E-07    1.783E+01    7.012E-78     r       4.6
7.012E+08    1.233E-12    3.371E+26    8.686E+03    1.044E+02    8.851E-07    1.777E+01    9.632E-78     r       4.6
7.012E+08    1.295E-12    3.371E+26    8.781E+03    1.097E+02    9.205E-07    1.765E+01    1.805E-77     r       4.6
7.012E+08    1.326E-12    3.371E+26    8.829E+03    1.125E+02    9.386E-07    1.759E+01    2.463E-77     r       4.6
7.012E+08    1.392E-12    3.371E+26    8.924E+03    1.182E+02    9.756E-07    1.748E+01    4.556E-77     r       4.6
7.011E+08    1.425E-12    3.371E+26    8.971E+03    1.211E+02    9.944E-07    1.742E+01    6.176E-77     r       4.6
7.011E+08    1.494E-12    3.371E+26    9.066E+03    1.271E+02    1.033E-06    1.731E+01    1.128E-76     r       4.6
7.011E+08    1.641E-12    3.371E+26    9.257E+03    1.398E+02    1.113E-06    1.709E+01    3.668E-76     r       4.6
7.011E+08    1.718E-12    3.371E+26    9.352E+03    1.466E+02    1.155E-06    1.698E+01    6.538E-76     r       4.6
7.010E+08    1.882E-12    3.371E+26    9.542E+03    1.608E+02    1.242E-06    1.678E+01    2.030E-75     r       4.6
7.010E+08    1.968E-12    3.371E+26    9.637E+03    1.683E+02    1.287E-06    1.668E+01    3.538E-75     r       4.6
7.009E+08    2.150E-12    3.371E+26    9.828E+03    1.841E+02    1.381E-06    1.648E+01    1.052E-74     r       4.6
7.009E+08    2.246E-12    3.371E+26    9.923E+03    1.925E+02    1.430E-06    1.638E+01    1.795E-74     r       4.6
7.009E+08    2.448E-12    3.371E+26    1.011E+04    2.101E+02    1.532E-06    1.619E+01    5.124E-74     r       4.6
7.009E+08    2.555E-12    3.371E+26    1.021E+04    2.193E+02    1.585E-06    1.610E+01    8.575E-74     r       4.6
7.008E+08    2.778E-12    3.371E+26    1.040E+04    2.388E+02    1.694E-06    1.592E+01    2.357E-73     r       4.6
7.008E+08    2.896E-12    3.371E+26    1.049E+04    2.490E+02    1.750E-06    1.583E+01    3.873E-73     r       4.6
7.008E+08    3.142E-12    3.371E+26    1.068E+04    2.705E+02    1.868E-06    1.566E+01    1.028E-72     r       4.6
7.007E+08    3.272E-12    3.371E+26    1.078E+04    2.818E+02    1.929E-06    1.558E+01    1.660E-72     r       4.6
7.007E+08    3.543E-12    3.371E+26    1.097E+04    3.055E+02    2.055E-06    1.541E+01    4.260E-72     r       4.6
7.007E+08    3.685E-12    3.371E+26    1.107E+04    3.179E+02    2.120E-06    1.533E+01    6.769E-72     r       4.6
7.006E+08    3.984E-12    3.371E+26    1.126E+04    3.438E+02    2.255E-06    1.517E+01    1.684E-71     r       4.6
7.006E+08    4.140E-12    3.371E+26    1.135E+04    3.574E+02    2.324E-06    1.510E+01    2.635E-71     r       4.6
7.006E+08    4.466E-12    3.371E+26    1.154E+04    3.859E+02    2.468E-06    1.495E+01    6.363E-71     r       4.6
7.005E+08    4.637E-12    3.371E+26    1.164E+04    4.008E+02    2.543E-06    1.487E+01    9.819E-71     r       4.6
7.005E+08    4.994E-12    3.371E+26    1.183E+04    4.320E+02    2.696E-06    1.473E+01    2.306E-70     r       4.6
7.005E+08    5.180E-12    3.371E+26    1.192E+04    4.482E+02    2.776E-06    1.465E+01    3.510E-70     r       4.6
7.004E+08    5.569E-12    3.371E+26    1.211E+04    4.822E+02    2.939E-06    1.451E+01    8.028E-70     r       4.6
7.004E+08    5.772E-12    3.371E+26    1.221E+04    4.999E+02    3.024E-06    1.445E+01    1.206E-69     r       4.6
7.004E+08    6.196E-12    3.371E+26    1.240E+04    5.369E+02    3.198E-06    1.431E+01    2.691E-69     r       4.6
7.003E+08    6.417E-12    3.371E+26    1.250E+04    5.562E+02    3.288E-06    1.424E+01    3.996E-69     r       4.6
7.003E+08    6.877E-12    3.371E+26    1.269E+04    5.964E+02    3.473E-06    1.411E+01    8.706E-69     r       4.6
7.003E+08    7.117E-12    3.371E+26    1.278E+04    6.174E+02    3.568E-06    1.405E+01    1.278E-68     r       4.6
7.002E+08    7.616E-12    3.371E+26    1.297E+04    6.610E+02    3.764E-06    1.393E+01    2.722E-68     r       4.6
7.002E+08    7.876E-12    3.371E+26    1.307E+04    6.837E+02    3.865E-06    1.386E+01    3.952E-68     r       4.6
7.002E+08    8.416E-12    3.371E+26    1.326E+04    7.309E+02    4.073E-06    1.374E+01    8.242E-68     r       4.6
7.001E+08    8.697E-12    3.371E+26    1.335E+04    7.554E+02    4.180E-06    1.368E+01    1.184E-67     r       4.6
