   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
7.009E+08    0.000E+00    1.888E+26    4.819E+03    4.173E+01    0.000E+00    3.885E+00    0.000E+00     *      99.9
7.002E+08    3.941E-14    1.888E+26    2.998E+03    6.770E-01    1.636E-08    3.009E+01    1.469E-109     r       4.2
6.995E+08    2.052E-13    1.888E+26    5.881E+03    1.244E+01    1.541E-07    1.716E+01    2.668E-88     r       2.8
6.992E+08    5.089E-13    1.888E+26    6.643E+03    3.406E+01    3.774E-07    2.294E+01    1.033E-84     r       7.6
6.990E+08    7.853E-13    1.888E+26    7.212E+03    5.375E+01    5.495E-07    2.324E+01    1.844E-82     r       5.5
6.989E+08    9.656E-13    1.888E+26    7.522E+03    6.661E+01    6.533E-07    2.305E+01    2.429E-81     r       5.1
6.989E+08    1.068E-12    1.888E+26    7.681E+03    7.391E+01    7.101E-07    2.290E+01    8.617E-81     r       5.0
6.988E+08    1.122E-12    1.888E+26    7.761E+03    7.779E+01    7.398E-07    2.282E+01    1.612E-80     r       4.9
6.988E+08    1.150E-12    1.888E+26    7.801E+03    7.980E+01    7.550E-07    2.278E+01    2.200E-80     r       4.9
6.988E+08    1.208E-12    1.888E+26    7.882E+03    8.392E+01    7.860E-07    2.269E+01    4.084E-80     r       4.9
6.988E+08    1.238E-12    1.888E+26    7.923E+03    8.605E+01    8.018E-07    2.264E+01    5.553E-80     r       4.9
6.988E+08    1.300E-12    1.888E+26    8.004E+03    9.043E+01    8.341E-07    2.255E+01    1.022E-79     r       4.9
6.988E+08    1.331E-12    1.888E+26    8.045E+03    9.269E+01    8.507E-07    2.250E+01    1.384E-79     r       4.8
6.987E+08    1.396E-12    1.888E+26    8.127E+03    9.734E+01    8.844E-07    2.240E+01    2.527E-79     r       4.8
6.987E+08    1.430E-12    1.888E+26    8.168E+03    9.973E+01    9.016E-07    2.235E+01    3.407E-79     r       4.8
6.987E+08    1.499E-12    1.888E+26    8.251E+03    1.047E+02    9.368E-07    2.225E+01    6.166E-79     r       4.8
6.987E+08    1.645E-12    1.888E+26    8.417E+03    1.151E+02    1.010E-06    2.204E+01    1.984E-78     r       4.8
6.986E+08    1.722E-12    1.888E+26    8.500E+03    1.206E+02    1.048E-06    2.194E+01    3.526E-78     r       4.8
6.986E+08    1.885E-12    1.888E+26    8.667E+03    1.323E+02    1.127E-06    2.172E+01    1.094E-77     r       4.7
6.986E+08    1.971E-12    1.888E+26    8.751E+03    1.384E+02    1.169E-06    2.162E+01    1.911E-77     r       4.7
6.985E+08    2.153E-12    1.888E+26    8.920E+03    1.514E+02    1.254E-06    2.140E+01    5.721E-77     r       4.7
6.985E+08    2.249E-12    1.888E+26    9.004E+03    1.583E+02    1.299E-06    2.130E+01    9.812E-77     r       4.7
6.985E+08    2.451E-12    1.888E+26    9.173E+03    1.727E+02    1.391E-06    2.108E+01    2.837E-76     r       4.7
6.984E+08    2.557E-12    1.888E+26    9.258E+03    1.803E+02    1.439E-06    2.098E+01    4.782E-76     r       4.7
6.984E+08    2.780E-12    1.888E+26    9.428E+03    1.962E+02    1.539E-06    2.076E+01    1.336E-75     r       4.7
6.984E+08    2.897E-12    1.888E+26    9.513E+03    2.046E+02    1.590E-06    2.066E+01    2.214E-75     r       4.7
6.983E+08    3.144E-12    1.888E+26    9.684E+03    2.223E+02    1.697E-06    2.045E+01    5.986E-75     r       4.7
6.983E+08    3.273E-12    1.888E+26    9.769E+03    2.315E+02    1.752E-06    2.035E+01    9.764E-75     r       4.6
6.983E+08    3.544E-12    1.888E+26    9.940E+03    2.509E+02    1.867E-06    2.015E+01    2.557E-74     r       4.6
6.982E+08    3.686E-12    1.888E+26    1.003E+04    2.611E+02    1.926E-06    2.005E+01    4.107E-74     r       4.6
6.982E+08    3.984E-12    1.888E+26    1.020E+04    2.824E+02    2.049E-06    1.986E+01    1.044E-73     r       4.6
6.982E+08    4.140E-12    1.888E+26    1.028E+04    2.936E+02    2.112E-06    1.976E+01    1.652E-73     r       4.6
6.981E+08    4.467E-12    1.888E+26    1.045E+04    3.170E+02    2.243E-06    1.957E+01    4.078E-73     r       4.6
6.981E+08    4.637E-12    1.888E+26    1.054E+04    3.292E+02    2.311E-06    1.948E+01    6.363E-73     r       4.6
6.981E+08    4.994E-12    1.888E+26    1.071E+04    3.548E+02    2.451E-06    1.929E+01    1.528E-72     r       4.6
6.980E+08    5.180E-12    1.888E+26    1.080E+04    3.681E+02    2.523E-06    1.920E+01    2.353E-72     r       4.6
6.980E+08    5.569E-12    1.888E+26    1.097E+04    3.960E+02    2.672E-06    1.902E+01    5.504E-72     r       4.6
6.980E+08    5.772E-12    1.888E+26    1.105E+04    4.106E+02    2.748E-06    1.893E+01    8.365E-72     r       4.6
6.979E+08    6.196E-12    1.888E+26    1.123E+04    4.409E+02    2.907E-06    1.876E+01    1.909E-71     r       4.6
6.979E+08    6.416E-12    1.888E+26    1.131E+04    4.568E+02    2.988E-06    1.868E+01    2.866E-71     r       4.6
6.979E+08    6.876E-12    1.888E+26    1.149E+04    4.898E+02    3.156E-06    1.851E+01    6.384E-71     r       4.6
6.978E+08    7.116E-12    1.888E+26    1.157E+04    5.070E+02    3.243E-06    1.843E+01    9.475E-71     r       4.6
6.978E+08    7.615E-12    1.888E+26    1.174E+04    5.428E+02    3.421E-06    1.827E+01    2.064E-70     r       4.6
6.978E+08    7.874E-12    1.888E+26    1.183E+04    5.614E+02    3.513E-06    1.819E+01    3.029E-70     r       4.6
6.977E+08    8.414E-12    1.888E+26    1.200E+04    6.002E+02    3.702E-06    1.803E+01    6.455E-70     r       4.6
6.977E+08    8.695E-12    1.888E+26    1.209E+04    6.203E+02    3.799E-06    1.795E+01    9.374E-70     r       4.6
6.977E+08    9.279E-12    1.888E+26    1.226E+04    6.622E+02    3.999E-06    1.780E+01    1.957E-69     r       4.6
