   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
2.375E+09    0.000E+00    2.542E+30    2.820E+04    3.742E+03    0.000E+00    4.194E-02    0.000E+00     *      99.9
2.372E+09    4.297E-14    2.542E+30    9.832E+03    3.028E+00    5.093E-09    2.189E-01    3.974E-77     r       2.1
2.370E+09    2.816E-13    2.542E+30    2.658E+04    1.889E+01    5.308E-08    7.116E-02    4.603E-57     c       1.6
2.369E+09    5.780E-13    2.542E+30    3.079E+04    3.866E+01    9.376E-08    6.902E-02    1.665E-54     r       4.7
2.368E+09    8.129E-13    2.542E+30    3.081E+04    5.435E+01    1.317E-07    7.987E-02    2.394E-54     *      99.9
2.368E+09    9.639E-13    2.542E+30    3.083E+04    6.443E+01    1.561E-07    8.647E-02    2.884E-54     *      99.9
2.368E+09    1.049E-12    2.542E+30    3.084E+04    7.016E+01    1.699E-07    9.010E-02    3.171E-54     *      99.9
2.368E+09    1.095E-12    2.542E+30    3.084E+04    7.321E+01    1.773E-07    9.200E-02    3.327E-54     *      99.9
2.367E+09    1.192E-12    2.542E+30    3.085E+04    7.971E+01    1.930E-07    9.600E-02    3.664E-54     *      99.9
2.367E+09    1.244E-12    2.542E+30    3.086E+04    8.317E+01    2.013E-07    9.810E-02    3.848E-54     *      99.9
2.367E+09    1.354E-12    2.542E+30    3.087E+04    9.056E+01    2.191E-07    1.025E-01    4.249E-54     *      99.9
2.367E+09    1.413E-12    2.542E+30    3.088E+04    9.449E+01    2.286E-07    1.048E-01    4.468E-54     *      99.9
2.367E+09    1.538E-12    2.542E+30    3.089E+04    1.029E+02    2.487E-07    1.096E-01    4.949E-54     *      99.9
2.367E+09    1.605E-12    2.542E+30    3.090E+04    1.073E+02    2.594E-07    1.122E-01    5.212E-54     *      99.9
2.367E+09    1.747E-12    2.542E+30    3.092E+04    1.169E+02    2.823E-07    1.174E-01    5.793E-54     *      99.9
2.367E+09    1.823E-12    2.542E+30    3.093E+04    1.219E+02    2.944E-07    1.202E-01    6.113E-54     *      99.9
2.367E+09    1.984E-12    2.542E+30    3.095E+04    1.327E+02    3.203E-07    1.260E-01    6.823E-54     *      99.9
2.366E+09    2.070E-12    2.542E+30    3.097E+04    1.385E+02    3.340E-07    1.290E-01    7.218E-54     *      99.9
2.366E+09    2.253E-12    2.542E+30    3.099E+04    1.507E+02    3.633E-07    1.353E-01    8.098E-54     r      95.6
2.366E+09    2.351E-12    2.542E+30    3.101E+04    1.573E+02    3.788E-07    1.386E-01    8.591E-54     r      86.9
2.366E+09    2.558E-12    2.542E+30    3.104E+04    1.712E+02    4.118E-07    1.454E-01    9.700E-54     r      78.9
2.366E+09    2.668E-12    2.542E+30    3.106E+04    1.786E+02    4.294E-07    1.489E-01    1.033E-53     r      71.7
2.366E+09    2.903E-12    2.542E+30    3.110E+04    1.943E+02    4.667E-07    1.563E-01    1.175E-53     r      65.1
2.366E+09    3.028E-12    2.542E+30    3.112E+04    2.027E+02    4.865E-07    1.601E-01    1.256E-53     r      59.2
2.366E+09    3.295E-12    2.542E+30    3.117E+04    2.206E+02    5.285E-07    1.680E-01    1.441E-53     r      53.8
2.366E+09    3.436E-12    2.542E+30    3.120E+04    2.301E+02    5.508E-07    1.721E-01    1.548E-53     r      49.0
2.365E+09    3.583E-12    2.542E+30    3.123E+04    2.399E+02    3.127E-10    3.435E-02    9.068E-57     r      47.0
2.365E+09    3.583E-12    2.542E+30    3.123E+04    2.399E+02    3.689E-10    3.440E-02    1.070E-56     *      99.9
2.365E+09    3.584E-12    2.542E+30    3.123E+04    2.400E+02    5.137E-10    3.452E-02    1.490E-56     *      99.9
2.363E+09    3.587E-12    2.542E+30    3.123E+04    2.402E+02    9.960E-10    3.488E-02    2.889E-56     *      99.9
2.361E+09    3.604E-12    2.542E+30    3.123E+04    2.413E+02    3.710E-09    3.651E-02    1.077E-55     *      99.9
2.356E+09    3.869E-12    2.542E+30    3.124E+04    2.593E+02    4.576E-08    5.275E-02    1.349E-54     *      99.9
2.354E+09    4.645E-12    2.542E+30    3.130E+04    3.124E+02    1.677E-07    8.667E-02    5.299E-54     r      93.5
2.353E+09    5.620E-12    2.542E+30    3.142E+04    3.792E+02    3.175E-07    1.207E-01    1.140E-53     r      53.2
2.352E+09    6.394E-12    2.542E+30    3.153E+04    4.323E+02    4.336E-07    1.439E-01    1.766E-53     r      36.2
2.352E+09    6.880E-12    2.542E+30    3.161E+04    4.657E+02    5.053E-07    1.571E-01    2.251E-53     r      29.2
2.352E+09    7.152E-12    2.542E+30    3.166E+04    4.844E+02    5.451E-07    1.641E-01    2.559E-53     r      26.0
2.351E+09    7.762E-12    2.542E+30    3.177E+04    5.263E+02    6.330E-07    1.789E-01    3.368E-53     r      23.2
2.351E+09    8.102E-12    2.542E+30    3.184E+04    5.497E+02    6.815E-07    1.866E-01    3.903E-53     r      20.7
2.351E+09    8.863E-12    2.542E+30    3.200E+04    6.020E+02    7.881E-07    2.025E-01    5.362E-53     r      18.4
2.351E+09    9.286E-12    2.542E+30    3.209E+04    6.311E+02    8.465E-07    2.106E-01    6.366E-53     r      16.4
2.350E+09    1.023E-11    2.542E+30    3.230E+04    6.959E+02    9.741E-07    2.271E-01    9.232E-53     r      14.7
2.350E+09    1.075E-11    2.542E+30    3.243E+04    7.319E+02    1.044E-06    2.353E-01    1.129E-52     r      13.2
2.350E+09    1.103E-11    2.542E+30    3.249E+04    7.508E+02    1.080E-06    2.394E-01    1.254E-52     r      12.5
2.350E+09    1.160E-11    2.542E+30    3.263E+04    7.906E+02    1.155E-06    2.475E-01    1.559E-52     r      11.9
2.350E+09    1.191E-11    2.542E+30    3.271E+04    8.116E+02    1.194E-06    2.515E-01    1.746E-52     r      11.3
2.350E+09    1.255E-11    2.542E+30    3.287E+04    8.556E+02    1.275E-06    2.594E-01    2.208E-52     r      10.8
2.350E+09    1.288E-11    2.542E+30    3.296E+04    8.787E+02    1.317E-06    2.632E-01    2.495E-52     r      10.3
2.350E+09    1.359E-11    2.542E+30    3.314E+04    9.273E+02    1.405E-06    2.708E-01    3.213E-52     r       9.8
2.350E+09    1.396E-11    2.542E+30    3.323E+04    9.528E+02    1.450E-06    2.744E-01    3.662E-52     r       9.4
2.349E+09    1.473E-11    2.542E+30    3.343E+04    1.006E+03    1.544E-06    2.815E-01    4.800E-52     r       9.0
2.349E+09    1.514E-11    2.542E+30    3.354E+04    1.034E+03    1.592E-06    2.849E-01    5.520E-52     r       8.6
2.349E+09    1.599E-11    2.542E+30    3.376E+04    1.093E+03    1.692E-06    2.914E-01    7.363E-52     r       8.3
2.349E+09    1.643E-11    2.542E+30    3.388E+04    1.123E+03    1.744E-06    2.945E-01    8.540E-52     r       8.0
2.349E+09    1.736E-11    2.542E+30    3.413E+04    1.188E+03    1.850E-06    3.004E-01    1.158E-51     r       7.7
2.349E+09    1.785E-11    2.542E+30    3.425E+04    1.221E+03    1.905E-06    3.032E-01    1.354E-51     r       7.5
2.349E+09    1.886E-11    2.542E+30    3.452E+04    1.291E+03    2.019E-06    3.084E-01    1.865E-51     r       7.2
2.349E+09    1.939E-11    2.542E+30    3.466E+04    1.328E+03    2.077E-06    3.109E-01    2.197E-51     r       7.0
2.349E+09    2.050E-11    2.542E+30    3.494E+04    1.404E+03    2.197E-06    3.154E-01    3.069E-51     r       6.8
2.348E+09    2.107E-11    2.542E+30    3.509E+04    1.444E+03    2.259E-06    3.175E-01    3.638E-51     r       6.6
2.348E+09    2.227E-11    2.542E+30    3.540E+04    1.527E+03    2.386E-06    3.214E-01    5.145E-51     r       6.5
2.348E+09    2.290E-11    2.542E+30    3.555E+04    1.570E+03    2.452E-06    3.232E-01    6.135E-51     r       6.3
