   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
1.731E+09    0.000E+00    5.272E+29    2.229E+04    3.402E+03    0.000E+00    5.209E-02    0.000E+00     *      99.9
1.729E+09    5.884E-14    5.272E+29    8.093E+03    2.251E+00    1.079E-08    7.006E-01    2.445E-81     r       2.1
1.727E+09    2.430E-13    5.272E+29    2.188E+04    1.787E+01    6.099E-08    1.161E-01    3.037E-60     r       1.7
1.727E+09    4.630E-13    5.272E+29    2.535E+04    3.657E+01    1.077E-07    1.113E-01    1.588E-57     r       4.7
1.726E+09    6.372E-13    5.272E+29    2.537E+04    5.140E+01    1.513E-07    1.352E-01    2.296E-57     *      99.9
1.726E+09    7.491E-13    5.272E+29    2.538E+04    6.094E+01    1.793E-07    1.497E-01    2.779E-57     *      99.9
1.726E+09    8.127E-13    5.272E+29    2.539E+04    6.635E+01    1.951E-07    1.577E-01    3.065E-57     *      99.9
1.726E+09    8.464E-13    5.272E+29    2.540E+04    6.923E+01    2.036E-07    1.619E-01    3.221E-57     *      99.9
1.726E+09    9.185E-13    5.272E+29    2.541E+04    7.538E+01    2.216E-07    1.706E-01    3.562E-57     *      99.9
1.726E+09    9.568E-13    5.272E+29    2.541E+04    7.865E+01    2.311E-07    1.752E-01    3.749E-57     *      99.9
1.726E+09    1.039E-12    5.272E+29    2.543E+04    8.563E+01    2.515E-07    1.848E-01    4.161E-57     *      99.9
1.725E+09    1.082E-12    5.272E+29    2.544E+04    8.935E+01    2.624E-07    1.898E-01    4.388E-57     *      99.9
1.725E+09    1.175E-12    5.272E+29    2.545E+04    9.727E+01    2.854E-07    2.004E-01    4.891E-57     *      99.9
1.725E+09    1.225E-12    5.272E+29    2.546E+04    1.015E+02    2.977E-07    2.059E-01    5.170E-57     *      99.9
1.725E+09    1.312E-12    5.272E+29    2.548E+04    1.090E+02    7.976E-09    4.346E-02    1.419E-58     *      99.9
1.725E+09    1.314E-12    5.272E+29    2.548E+04    1.091E+02    8.319E-09    4.378E-02    1.481E-58     *      99.9
1.725E+09    1.317E-12    5.272E+29    2.548E+04    1.093E+02    9.050E-09    4.446E-02    1.611E-58     *      99.9
1.725E+09    1.323E-12    5.272E+29    2.548E+04    1.099E+02    1.071E-08    4.597E-02    1.907E-58     *      99.9
1.724E+09    1.340E-12    5.272E+29    2.548E+04    1.114E+02    1.500E-08    4.967E-02    2.674E-58     *      99.9
1.724E+09    1.398E-12    5.272E+29    2.548E+04    1.163E+02    2.938E-08    6.083E-02    5.260E-58     *      99.9
1.722E+09    1.728E-12    5.272E+29    2.551E+04    1.446E+02    1.109E-07    1.114E-01    2.064E-57     *      99.9
1.721E+09    2.152E-12    5.272E+29    2.556E+04    1.812E+02    2.149E-07    1.646E-01    4.325E-57     *      99.9
1.721E+09    2.495E-12    5.272E+29    2.562E+04    2.108E+02    2.979E-07    2.023E-01    6.514E-57     r      68.3
1.720E+09    2.713E-12    5.272E+29    2.566E+04    2.296E+02    3.502E-07    2.245E-01    8.137E-57     r      52.8
1.720E+09    2.836E-12    5.272E+29    2.568E+04    2.402E+02    3.795E-07    2.364E-01    9.148E-57     r      46.0
1.720E+09    3.113E-12    5.272E+29    2.575E+04    2.642E+02    4.450E-07    2.621E-01    1.173E-56     r      39.9
1.720E+09    3.269E-12    5.272E+29    2.578E+04    2.777E+02    4.816E-07    2.758E-01    1.340E-56     r      34.7
1.720E+09    3.352E-12    5.272E+29    2.580E+04    2.849E+02    5.009E-07    2.828E-01    1.435E-56     r      32.3
1.720E+09    3.528E-12    5.272E+29    2.585E+04    3.000E+02    5.417E-07    2.973E-01    1.655E-56     r      30.1
1.720E+09    3.621E-12    5.272E+29    2.587E+04    3.081E+02    5.632E-07    3.048E-01    1.783E-56     r      28.0
1.720E+09    3.818E-12    5.272E+29    2.592E+04    3.251E+02    6.085E-07    3.200E-01    2.081E-56     r      26.1
1.719E+09    3.922E-12    5.272E+29    2.595E+04    3.342E+02    6.323E-07    3.278E-01    2.256E-56     r      24.3
1.719E+09    4.144E-12    5.272E+29    2.602E+04    3.533E+02    6.825E-07    3.436E-01    2.669E-56     r      22.7
1.719E+09    4.261E-12    5.272E+29    2.605E+04    3.635E+02    7.089E-07    3.517E-01    2.913E-56     r      21.2
1.719E+09    4.509E-12    5.272E+29    2.613E+04    3.849E+02    7.643E-07    3.680E-01    3.501E-56     r      19.8
1.719E+09    4.640E-12    5.272E+29    2.617E+04    3.963E+02    7.934E-07    3.763E-01    3.854E-56     r      18.5
1.719E+09    4.917E-12    5.272E+29    2.626E+04    4.203E+02    8.543E-07    3.929E-01    4.711E-56     r      17.3
1.719E+09    5.064E-12    5.272E+29    2.631E+04    4.330E+02    8.863E-07    4.012E-01    5.234E-56     r      16.2
1.719E+09    5.373E-12    5.272E+29    2.641E+04    4.598E+02    9.531E-07    4.179E-01    6.522E-56     r      15.2
1.719E+09    5.536E-12    5.272E+29    2.647E+04    4.739E+02    9.880E-07    4.262E-01    7.317E-56     r      14.2
1.719E+09    5.881E-12    5.272E+29    2.659E+04    5.038E+02    1.061E-06    4.426E-01    9.308E-56     r      13.4
1.719E+09    6.063E-12    5.272E+29    2.665E+04    5.195E+02    1.099E-06    4.508E-01    1.056E-55     r      12.6
1.719E+09    6.446E-12    5.272E+29    2.679E+04    5.528E+02    1.179E-06    4.667E-01    1.372E-55     r      11.9
1.719E+09    6.647E-12    5.272E+29    2.687E+04    5.702E+02    1.220E-06    4.746E-01    1.573E-55     r      11.3
1.718E+09    7.072E-12    5.272E+29    2.703E+04    6.071E+02    1.306E-06    4.898E-01    2.092E-55     r      10.7
1.718E+09    7.296E-12    5.272E+29    2.711E+04    6.265E+02    1.351E-06    4.972E-01    2.426E-55     r      10.1
1.718E+09    7.765E-12    5.272E+29    2.729E+04    6.672E+02    1.443E-06    5.115E-01    3.298E-55     r       9.6
1.718E+09    8.012E-12    5.272E+29    2.738E+04    6.886E+02    1.492E-06    5.184E-01    3.868E-55     r       9.2
1.718E+09    8.531E-12    5.272E+29    2.758E+04    7.336E+02    1.591E-06    5.315E-01    5.376E-55     r       8.8
1.718E+09    8.802E-12    5.272E+29    2.768E+04    7.572E+02    1.643E-06    5.377E-01    6.372E-55     r       8.4
1.718E+09    9.373E-12    5.272E+29    2.790E+04    8.067E+02    1.750E-06    5.494E-01    9.043E-55     r       8.1
1.718E+09    9.672E-12    5.272E+29    2.802E+04    8.327E+02    1.805E-06    5.549E-01    1.083E-54     r       7.8
