   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
6.209E+08    0.000E+00    8.322E+24    2.346E+03    2.398E+00    0.000E+00    4.785E+01    0.000E+00     *      99.9
6.203E+08    3.930E-14    8.322E+24    1.880E+03    3.308E-01    1.302E-08    1.282E+02    1.183E-126     r       6.9
6.196E+08    2.010E-13    8.322E+24    3.807E+03    6.081E+00    1.182E-07    6.347E+01    5.663E-101     r       2.6
6.193E+08    4.922E-13    8.322E+24    4.229E+03    1.647E+01    2.894E-07    8.998E+01    2.214E-97     r       8.8
6.192E+08    7.576E-13    8.322E+24    4.567E+03    2.595E+01    4.225E-07    9.310E+01    6.081E-95     r       5.8
6.191E+08    9.313E-13    8.322E+24    4.755E+03    3.216E+01    5.030E-07    9.294E+01    1.074E-93     r       5.3
6.191E+08    1.030E-12    8.322E+24    4.853E+03    3.568E+01    5.470E-07    9.259E+01    4.458E-93     r       5.1
6.190E+08    1.082E-12    8.322E+24    4.902E+03    3.756E+01    5.700E-07    9.236E+01    9.039E-93     r       5.1
6.190E+08    1.109E-12    8.322E+24    4.927E+03    3.853E+01    5.818E-07    9.224E+01    1.285E-92     r       5.0
6.190E+08    1.165E-12    8.322E+24    4.977E+03    4.052E+01    6.058E-07    9.197E+01    2.589E-92     r       5.0
6.190E+08    1.194E-12    8.322E+24    5.002E+03    4.155E+01    6.180E-07    9.183E+01    3.668E-92     r       5.0
6.190E+08    1.253E-12    8.322E+24    5.052E+03    4.367E+01    6.431E-07    9.153E+01    7.336E-92     r       5.0
6.190E+08    1.284E-12    8.322E+24    5.078E+03    4.476E+01    6.559E-07    9.137E+01    1.036E-91     r       4.9
6.190E+08    1.347E-12    8.322E+24    5.129E+03    4.701E+01    6.820E-07    9.104E+01    2.055E-91     r       4.9
6.190E+08    1.379E-12    8.322E+24    5.154E+03    4.817E+01    6.954E-07    9.087E+01    2.889E-91     r       4.9
6.189E+08    1.446E-12    8.322E+24    5.205E+03    5.055E+01    7.226E-07    9.051E+01    5.684E-91     r       4.9
6.189E+08    1.587E-12    8.322E+24    5.309E+03    5.560E+01    7.793E-07    8.977E+01    2.162E-90     r       4.8
6.189E+08    1.661E-12    8.322E+24    5.361E+03    5.826E+01    8.088E-07    8.938E+01    4.179E-90     r       4.8
6.188E+08    1.819E-12    8.322E+24    5.465E+03    6.391E+01    8.703E-07    8.859E+01    1.532E-89     r       4.8
6.188E+08    1.902E-12    8.322E+24    5.518E+03    6.689E+01    9.022E-07    8.819E+01    2.905E-89     r       4.8
6.188E+08    2.077E-12    8.322E+24    5.623E+03    7.318E+01    9.686E-07    8.737E+01    1.025E-88     r       4.7
6.188E+08    2.170E-12    8.322E+24    5.676E+03    7.649E+01    1.003E-06    8.695E+01    1.907E-88     r       4.7
6.187E+08    2.365E-12    8.322E+24    5.782E+03    8.348E+01    1.075E-06    8.612E+01    6.476E-88     r       4.7
6.187E+08    2.468E-12    8.322E+24    5.835E+03    8.716E+01    1.112E-06    8.571E+01    1.182E-87     r       4.7
6.187E+08    2.683E-12    8.322E+24    5.942E+03    9.489E+01    1.189E-06    8.488E+01    3.866E-87     r       4.7
6.186E+08    2.797E-12    8.322E+24    5.995E+03    9.896E+01    1.229E-06    8.447E+01    6.927E-87     r       4.7
6.186E+08    3.035E-12    8.322E+24    6.102E+03    1.075E+02    1.311E-06    8.364E+01    2.183E-86     r       4.7
6.186E+08    3.160E-12    8.322E+24    6.156E+03    1.120E+02    1.354E-06    8.324E+01    3.842E-86     r       4.7
6.185E+08    3.422E-12    8.322E+24    6.263E+03    1.214E+02    1.443E-06    8.243E+01    1.168E-85     r       4.7
6.185E+08    3.560E-12    8.322E+24    6.317E+03    1.263E+02    1.489E-06    8.203E+01    2.020E-85     r       4.7
6.185E+08    3.848E-12    8.322E+24    6.425E+03    1.367E+02    1.584E-06    8.124E+01    5.937E-85     r       4.7
6.185E+08    3.999E-12    8.322E+24    6.479E+03    1.421E+02    1.633E-06    8.085E+01    1.009E-84     r       4.6
6.184E+08    4.315E-12    8.322E+24    6.587E+03    1.534E+02    1.734E-06    8.009E+01    2.870E-84     r       4.6
6.184E+08    4.480E-12    8.322E+24    6.641E+03    1.594E+02    1.787E-06    7.971E+01    4.801E-84     r       4.6
6.184E+08    4.825E-12    8.322E+24    6.749E+03    1.717E+02    1.895E-06    7.896E+01    1.323E-83     r       4.6
6.183E+08    5.005E-12    8.322E+24    6.803E+03    1.782E+02    1.951E-06    7.859E+01    2.179E-83     r       4.6
6.183E+08    5.381E-12    8.322E+24    6.911E+03    1.917E+02    2.066E-06    7.787E+01    5.824E-83     r       4.6
6.183E+08    5.578E-12    8.322E+24    6.965E+03    1.988E+02    2.125E-06    7.751E+01    9.453E-83     r       4.6
6.183E+08    5.988E-12    8.322E+24    7.074E+03    2.135E+02    2.248E-06    7.680E+01    2.455E-82     r       4.6
6.182E+08    6.201E-12    8.322E+24    7.128E+03    2.212E+02    2.311E-06    7.646E+01    3.929E-82     r       4.6
6.182E+08    6.646E-12    8.322E+24    7.237E+03    2.372E+02    2.441E-06    7.577E+01    9.928E-82     r       4.6
6.182E+08    6.878E-12    8.322E+24    7.291E+03    2.456E+02    2.508E-06    7.544E+01    1.568E-81     r       4.6
6.181E+08    7.361E-12    8.322E+24    7.399E+03    2.629E+02    2.646E-06    7.477E+01    3.859E-81     r       4.6
6.181E+08    7.612E-12    8.322E+24    7.454E+03    2.720E+02    2.717E-06    7.445E+01    6.016E-81     r       4.6
6.181E+08    8.135E-12    8.322E+24    7.562E+03    2.908E+02    2.863E-06    7.381E+01    1.444E-80     r       4.6
6.181E+08    8.406E-12    8.322E+24    7.617E+03    3.005E+02    2.939E-06    7.349E+01    2.224E-80     r       4.6
6.180E+08    8.971E-12    8.322E+24    7.726E+03    3.209E+02    3.093E-06    7.287E+01    5.212E-80     r       4.6
6.180E+08    9.265E-12    8.322E+24    7.780E+03    3.314E+02    3.173E-06    7.256E+01    7.933E-80     r       4.6
6.180E+08    9.874E-12    8.322E+24    7.889E+03    3.534E+02    3.336E-06    7.196E+01    1.817E-79     r       4.6
6.179E+08    1.019E-11    8.322E+24    7.943E+03    3.648E+02    3.420E-06    7.166E+01    2.735E-79     r       4.6
6.179E+08    1.085E-11    8.322E+24    8.052E+03    3.884E+02    3.593E-06    7.108E+01    6.131E-79     r       4.6
6.179E+08    1.119E-11    8.322E+24    8.106E+03    4.007E+02    3.682E-06    7.079E+01    9.131E-79     r       4.6
6.178E+08    1.189E-11    8.322E+24    8.215E+03    4.261E+02    3.864E-06    7.022E+01    2.004E-78     r       4.6
6.178E+08    1.226E-11    8.322E+24    8.270E+03    4.393E+02    3.957E-06    6.994E+01    2.955E-78     r       4.6
6.178E+08    1.302E-11    8.322E+24    8.379E+03    4.667E+02    4.149E-06    6.939E+01    6.357E-78     r       4.6
6.178E+08    1.341E-11    8.322E+24    8.433E+03    4.808E+02    4.247E-06    6.912E+01    9.281E-78     r       4.6
6.177E+08    1.422E-11    8.322E+24    8.542E+03    5.102E+02    4.449E-06    6.859E+01    1.959E-77     r       4.6
6.177E+08    1.464E-11    8.322E+24    8.597E+03    5.254E+02    4.552E-06    6.832E+01    2.833E-77     r       4.6
6.177E+08    1.552E-11    8.322E+24    8.706E+03    5.568E+02    4.764E-06    6.781E+01    5.873E-77     r       4.6
6.177E+08    1.597E-11    8.322E+24    8.760E+03    5.731E+02    4.873E-06    6.755E+01    8.418E-77     r       4.6
6.176E+08    1.690E-11    8.322E+24    8.869E+03    6.067E+02    5.096E-06    6.705E+01    1.715E-76     r       4.6
6.176E+08    1.738E-11    8.322E+24    8.924E+03    6.241E+02    5.210E-06    6.680E+01    2.437E-76     r       4.6
6.176E+08    1.838E-11    8.322E+24    9.033E+03    6.601E+02    5.443E-06    6.631E+01    4.880E-76     r       4.6
6.175E+08    1.889E-11    8.322E+24    9.088E+03    6.786E+02    5.563E-06    6.607E+01    6.879E-76     r       4.6
6.175E+08    1.995E-11    8.322E+24    9.197E+03    7.170E+02    5.808E-06    6.559E+01    1.356E-75     r       4.6
6.175E+08    2.050E-11    8.322E+24    9.251E+03    7.369E+02    5.934E-06    6.536E+01    1.896E-75     r       4.6
6.174E+08    2.164E-11    8.322E+24    9.361E+03    7.778E+02    6.190E-06    6.489E+01    3.679E-75     r       4.6
6.174E+08    2.222E-11    8.322E+24    9.415E+03    7.989E+02    6.322E-06    6.467E+01    5.106E-75     r       4.6
6.174E+08    2.343E-11    8.322E+24    9.524E+03    8.426E+02    6.591E-06    6.422E+01    9.762E-75     r       4.6
6.174E+08    2.405E-11    8.322E+24    9.579E+03    8.651E+02    6.728E-06    6.399E+01    1.345E-74     r       4.6
6.173E+08    2.533E-11    8.322E+24    9.688E+03    9.115E+02    7.009E-06    6.356E+01    2.535E-74     r       4.6
6.173E+08    2.599E-11    8.322E+24    9.743E+03    9.354E+02    7.153E-06    6.334E+01    3.468E-74     r       4.6
6.173E+08    2.736E-11    8.322E+24    9.852E+03    9.847E+02    7.447E-06    6.291E+01    6.447E-74     r       4.6
6.172E+08    2.806E-11    8.322E+24    9.907E+03    1.010E+03    7.597E-06    6.270E+01    8.761E-74     r       4.6
6.172E+08    2.951E-11    8.322E+24    1.002E+04    1.063E+03    7.904E-06    6.229E+01    1.607E-73     r       4.6
6.172E+08    3.025E-11    8.322E+24    1.007E+04    1.090E+03    8.061E-06    6.208E+01    2.170E-73     r       4.6
6.171E+08    3.179E-11    8.322E+24    1.018E+04    1.145E+03    8.381E-06    6.168E+01    3.931E-73     r       4.6
6.171E+08    3.258E-11    8.322E+24    1.023E+04    1.174E+03    8.545E-06    6.148E+01    5.274E-73     r       4.6
6.171E+08    3.421E-11    8.322E+24    1.034E+04    1.233E+03    8.879E-06    6.108E+01    9.436E-73     r       4.6
6.171E+08    3.504E-11    8.322E+24    1.040E+04    1.263E+03    9.049E-06    6.089E+01    1.258E-72     r       4.6
6.170E+08    3.676E-11    8.322E+24    1.051E+04    1.325E+03    9.398E-06    6.050E+01    2.225E-72     r       4.6
6.170E+08    4.041E-11    8.322E+24    1.073E+04    1.457E+03    1.012E-05    5.975E+01    6.800E-72     r       4.6
6.169E+08    4.233E-11    8.322E+24    1.084E+04    1.527E+03    1.050E-05    5.938E+01    1.176E-71     r       4.6
6.168E+08    4.639E-11    8.322E+24    1.106E+04    1.675E+03    1.129E-05    5.867E+01    3.440E-71     r       4.6
6.168E+08    4.854E-11    8.322E+24    1.116E+04    1.752E+03    1.170E-05    5.832E+01    5.824E-71     r       4.6
6.167E+08    5.306E-11    8.322E+24    1.138E+04    1.916E+03    1.255E-05    5.764E+01    1.637E-70     r       4.6
6.167E+08    5.544E-11    8.322E+24    1.149E+04    2.003E+03    1.299E-05    5.730E+01    2.717E-70     r       4.6
6.166E+08    6.045E-11    8.322E+24    1.171E+04    2.185E+03    1.390E-05    5.665E+01    7.353E-70     r       4.6
6.166E+08    6.309E-11    8.322E+24    1.182E+04    2.281E+03    1.438E-05    5.633E+01    1.199E-69     r       4.6
6.165E+08    6.863E-11    8.322E+24    1.204E+04    2.482E+03    1.536E-05    5.571E+01    3.130E-69     r       4.6
6.164E+08    7.154E-11    8.322E+24    1.215E+04    2.588E+03    1.587E-05    5.540E+01    5.015E-69     r       4.6
6.164E+08    7.765E-11    8.322E+24    1.237E+04    2.810E+03    1.693E-05    5.480E+01    1.267E-68     r       4.6
6.163E+08    8.085E-11    8.322E+24    1.248E+04    2.927E+03    1.748E-05    5.451E+01    1.997E-68     r       4.6
6.163E+08    8.757E-11    8.322E+24    1.270E+04    3.172E+03    1.861E-05    5.394E+01    4.890E-68     r       4.6
6.162E+08    9.109E-11    8.322E+24    1.281E+04    3.300E+03    1.920E-05    5.366E+01    7.594E-68     r       4.6
6.161E+08    9.846E-11    8.322E+24    1.303E+04    3.568E+03    2.041E-05    5.311E+01    1.805E-67     r       4.6
6.161E+08    1.023E-10    8.322E+24    1.314E+04    3.709E+03    2.104E-05    5.284E+01    2.763E-67     r       4.6
6.160E+08    1.104E-10    8.322E+24    1.336E+04    4.003E+03    2.234E-05    5.231E+01    6.388E-67     r       4.6
6.160E+08    1.146E-10    8.322E+24    1.347E+04    4.157E+03    2.301E-05    5.205E+01    9.648E-67     r       4.6
6.159E+08    1.234E-10    8.322E+24    1.369E+04    4.479E+03    2.439E-05    5.154E+01    2.172E-66     r       4.6
6.159E+08    1.280E-10    8.322E+24    1.380E+04    4.647E+03    2.511E-05    5.129E+01    3.239E-66     r       4.6
6.158E+08    1.376E-10    8.322E+24    1.402E+04    4.998E+03    2.658E-05    5.081E+01    7.116E-66     r       4.6
6.157E+08    1.427E-10    8.322E+24    1.413E+04    5.181E+03    2.734E-05    5.057E+01    1.048E-65     r       4.6
6.157E+08    1.531E-10    8.322E+24    1.435E+04    5.563E+03    2.890E-05    5.010E+01    2.249E-65     r       4.6
6.156E+08    1.585E-10    8.322E+24    1.446E+04    5.762E+03    2.971E-05    4.986E+01    3.276E-65     r       4.6
6.156E+08    1.699E-10    8.322E+24    1.468E+04    6.177E+03    3.137E-05    4.941E+01    6.873E-65     r       4.6
6.155E+08    1.758E-10    8.322E+24    1.479E+04    6.393E+03    3.223E-05    4.919E+01    9.902E-65     r       4.6
6.154E+08    1.881E-10    8.322E+24    1.501E+04    6.844E+03    3.400E-05    4.875E+01    2.034E-64     r       4.6
6.154E+08    1.945E-10    8.322E+24    1.512E+04    7.078E+03    3.490E-05    4.853E+01    2.900E-64     r       4.6
6.153E+08    2.078E-10    8.322E+24    1.534E+04    7.565E+03    3.677E-05    4.811E+01    5.839E-64     r       4.6
6.153E+08    2.147E-10    8.322E+24    1.545E+04    7.819E+03    3.773E-05    4.790E+01    8.244E-64     r       4.6
6.152E+08    2.291E-10    8.322E+24    1.567E+04    8.345E+03    3.971E-05    4.749E+01    1.628E-63     r       4.6
6.152E+08    2.366E-10    8.322E+24    1.578E+04    8.619E+03    4.073E-05    4.729E+01    2.278E-63     r       4.6
6.151E+08    2.521E-10    8.322E+24    1.600E+04    9.188E+03    4.282E-05    4.690E+01    4.417E-63     r       4.6
6.151E+08    2.601E-10    8.322E+24    1.611E+04    9.483E+03    4.389E-05    4.670E+01    6.124E-63     r       4.6
6.150E+08    2.768E-10    8.322E+24    1.633E+04    1.010E+04    4.609E-05    4.632E+01    1.167E-62     r       4.6
6.149E+08    2.854E-10    8.322E+24    1.644E+04    1.041E+04    4.723E-05    4.613E+01    1.604E-62     r       4.6
6.149E+08    3.034E-10    8.322E+24    1.666E+04    1.107E+04    4.955E-05    4.576E+01    3.007E-62     r       4.6
6.148E+08    3.127E-10    8.322E+24    1.677E+04    1.141E+04    5.075E-05    4.558E+01    4.101E-62     r       4.6
6.147E+08    3.319E-10    8.322E+24    1.699E+04    1.212E+04    5.320E-05    4.522E+01    7.566E-62     r       4.6
6.147E+08    3.419E-10    8.322E+24    1.710E+04    1.249E+04    5.445E-05    4.504E+01    1.024E-61     r       4.6
6.146E+08    3.625E-10    8.322E+24    1.732E+04    1.325E+04    5.703E-05    4.469E+01    1.860E-61     r       4.6
6.146E+08    3.732E-10    8.322E+24    1.743E+04    1.364E+04    5.835E-05    4.452E+01    2.499E-61     r       4.6
6.145E+08    3.953E-10    8.322E+24    1.765E+04    1.446E+04    6.106E-05    4.418E+01    4.475E-61     r       4.6
6.145E+08    4.068E-10    8.322E+24    1.776E+04    1.488E+04    6.245E-05    4.402E+01    5.968E-61     r       4.6
6.144E+08    4.304E-10    8.322E+24    1.798E+04    1.575E+04    6.530E-05    4.369E+01    1.054E-60     r       4.6
6.144E+08    4.426E-10    8.322E+24    1.809E+04    1.620E+04    6.676E-05    4.353E+01    1.396E-60     r       4.6
6.143E+08    4.679E-10    8.322E+24    1.831E+04    1.713E+04    6.974E-05    4.321E+01    2.433E-60     r       4.6
6.142E+08    4.809E-10    8.322E+24    1.842E+04    1.761E+04    7.127E-05    4.305E+01    3.202E-60     r       4.6
6.142E+08    5.079E-10    8.322E+24    1.865E+04    1.861E+04    7.441E-05    4.274E+01    5.510E-60     r       4.6
6.141E+08    5.218E-10    8.322E+24    1.876E+04    1.912E+04    7.601E-05    4.259E+01    7.206E-60     r       4.6
6.140E+08    5.505E-10    8.322E+24    1.898E+04    2.018E+04    7.929E-05    4.229E+01    1.225E-59     r       4.6
6.140E+08    5.653E-10    8.322E+24    1.909E+04    2.073E+04    8.097E-05    4.214E+01    1.592E-59     r       4.6
6.139E+08    5.959E-10    8.322E+24    1.931E+04    2.186E+04    8.441E-05    4.185E+01    2.675E-59     r       4.6
6.139E+08    6.116E-10    8.322E+24    1.942E+04    2.244E+04    8.616E-05    4.170E+01    3.457E-59     r       4.6
6.138E+08    6.441E-10    8.322E+24    1.964E+04    2.364E+04    8.976E-05    4.142E+01    5.742E-59     r       4.6
6.138E+08    6.609E-10    8.322E+24    1.975E+04    2.426E+04    9.160E-05    4.128E+01    7.379E-59     r       4.6
6.137E+08    6.954E-10    8.322E+24    1.997E+04    2.554E+04    9.535E-05    4.100E+01    1.212E-58     r       4.6
6.137E+08    7.132E-10    8.322E+24    2.008E+04    2.620E+04    9.727E-05    4.086E+01    1.550E-58     r       4.6
6.136E+08    7.498E-10    8.322E+24    2.031E+04    2.756E+04    1.012E-04    4.059E+01    2.520E-58     r       4.6
6.135E+08    7.687E-10    8.322E+24    2.042E+04    2.826E+04    1.032E-04    4.046E+01    3.205E-58     r       4.6
6.135E+08    8.075E-10    8.322E+24    2.064E+04    2.970E+04    1.073E-04    4.020E+01    5.159E-58     r       4.6
6.134E+08    8.275E-10    8.322E+24    2.075E+04    3.044E+04    1.094E-04    4.007E+01    6.529E-58     r       4.6
6.133E+08    8.687E-10    8.322E+24    2.097E+04    3.196E+04    1.137E-04    3.981E+01    1.041E-57     r       4.6
6.133E+08    8.898E-10    8.322E+24    2.108E+04    3.275E+04    1.158E-04    3.968E+01    1.311E-57     r       4.6
6.132E+08    9.334E-10    8.322E+24    2.130E+04    3.437E+04    1.203E-04    3.943E+01    2.070E-57     r       4.6
6.131E+08    1.025E-09    8.322E+24    2.175E+04    3.779E+04    1.296E-04    3.894E+01    5.068E-57     r       4.6
6.130E+08    1.074E-09    8.322E+24    2.197E+04    3.960E+04    1.344E-04    3.871E+01    7.861E-57     r       4.6
6.128E+08    1.177E-09    8.322E+24    2.241E+04    4.342E+04    1.445E-04    3.824E+01    1.860E-56     r       4.6
6.128E+08    1.231E-09    8.322E+24    2.263E+04    4.544E+04    1.497E-04    3.801E+01    2.838E-56     r       4.6
