   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
2.070E+09    0.000E+00    1.311E+30    2.560E+04    3.659E+03    0.000E+00    4.515E-02    0.000E+00     *      99.9
2.068E+09    5.473E-14    1.311E+30    9.024E+03    2.618E+00    7.832E-09    3.864E-01    6.635E-79     r       2.1
2.066E+09    2.691E-13    1.311E+30    2.439E+04    1.842E+01    5.640E-08    8.669E-02    1.934E-58     c       1.6
2.065E+09    5.299E-13    1.311E+30    2.826E+04    3.770E+01    9.963E-08    8.364E-02    8.207E-56     r       4.7
2.064E+09    7.365E-13    1.311E+30    2.828E+04    5.300E+01    1.400E-07    9.900E-02    1.183E-55     *      99.9
2.064E+09    8.693E-13    1.311E+30    2.830E+04    6.283E+01    1.658E-07    1.083E-01    1.428E-55     *      99.9
2.064E+09    9.446E-13    1.311E+30    2.831E+04    6.842E+01    1.805E-07    1.135E-01    1.573E-55     *      99.9
2.064E+09    9.848E-13    1.311E+30    2.831E+04    7.139E+01    1.883E-07    1.162E-01    1.651E-55     *      99.9
2.064E+09    1.070E-12    1.311E+30    2.832E+04    7.773E+01    2.050E-07    1.218E-01    1.822E-55     *      99.9
2.064E+09    1.116E-12    1.311E+30    2.833E+04    8.111E+01    2.138E-07    1.248E-01    1.915E-55     *      99.9
2.064E+09    1.213E-12    1.311E+30    2.834E+04    8.830E+01    2.327E-07    1.310E-01    2.120E-55     *      99.9
2.063E+09    1.265E-12    1.311E+30    2.835E+04    9.214E+01    2.427E-07    1.342E-01    2.232E-55     *      99.9
2.063E+09    1.375E-12    1.311E+30    2.836E+04    1.003E+02    2.641E-07    1.410E-01    2.479E-55     *      99.9
2.063E+09    1.434E-12    1.311E+30    2.837E+04    1.047E+02    2.755E-07    1.446E-01    2.615E-55     *      99.9
2.063E+09    1.558E-12    1.311E+30    2.839E+04    1.139E+02    2.997E-07    1.520E-01    2.917E-55     *      99.9
2.063E+09    1.625E-12    1.311E+30    2.840E+04    1.189E+02    3.126E-07    1.559E-01    3.084E-55     *      99.9
2.063E+09    1.767E-12    1.311E+30    2.843E+04    1.294E+02    3.400E-07    1.640E-01    3.458E-55     *      99.9
2.063E+09    1.842E-12    1.311E+30    2.844E+04    1.350E+02    3.545E-07    1.682E-01    3.667E-55     r      91.7
2.063E+09    2.003E-12    1.311E+30    2.847E+04    1.469E+02    3.855E-07    1.770E-01    4.137E-55     r      82.9
2.063E+09    2.089E-12    1.311E+30    2.848E+04    1.533E+02    4.020E-07    1.816E-01    4.403E-55     r      75.2
2.063E+09    2.271E-12    1.311E+30    2.852E+04    1.668E+02    4.369E-07    1.911E-01    5.006E-55     r      68.1
