   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
6.683E+08    0.000E+00    5.027E+25    3.545E+03    1.226E+01    0.000E+00    1.131E+01    0.000E+00     *      99.9
6.677E+08    3.919E-14    5.027E+25    2.445E+03    4.867E-01    1.459E-08    5.599E+01    1.054E-116     r       5.0
6.670E+08    2.022E-13    5.027E+25    4.875E+03    8.954E+00    1.350E-07    2.973E+01    1.497E-93     r       2.7
6.667E+08    4.985E-13    5.027E+25    5.460E+03    2.439E+01    3.306E-07    4.095E+01    5.487E-90     r       8.2
6.665E+08    7.684E-13    5.027E+25    5.913E+03    3.846E+01    4.819E-07    4.191E+01    1.161E-87     r       5.6
6.664E+08    9.449E-13    5.027E+25    6.162E+03    4.767E+01    5.734E-07    4.169E+01    1.724E-86     r       5.2
6.664E+08    1.045E-12    5.027E+25    6.290E+03    5.290E+01    6.234E-07    4.148E+01    6.528E-86     r       5.0
6.664E+08    1.098E-12    5.027E+25    6.355E+03    5.568E+01    6.495E-07    4.135E+01    1.262E-85     r       5.0
6.663E+08    1.126E-12    5.027E+25    6.388E+03    5.711E+01    6.628E-07    4.129E+01    1.752E-85     r       5.0
6.663E+08    1.182E-12    5.027E+25    6.453E+03    6.007E+01    6.901E-07    4.114E+01    3.365E-85     r       4.9
6.663E+08    1.211E-12    5.027E+25    6.486E+03    6.159E+01    7.041E-07    4.107E+01    4.654E-85     r       4.9
6.663E+08    1.271E-12    5.027E+25    6.552E+03    6.473E+01    7.325E-07    4.092E+01    8.868E-85     r       4.9
6.663E+08    1.302E-12    5.027E+25    6.585E+03    6.635E+01    7.471E-07    4.084E+01    1.222E-84     r       4.9
6.663E+08    1.366E-12    5.027E+25    6.652E+03    6.968E+01    7.768E-07    4.067E+01    2.309E-84     r       4.9
6.663E+08    1.399E-12    5.027E+25    6.685E+03    7.139E+01    7.919E-07    4.059E+01    3.167E-84     r       4.8
6.662E+08    1.466E-12    5.027E+25    6.753E+03    7.492E+01    8.228E-07    4.042E+01    5.934E-84     r       4.8
6.662E+08    1.609E-12    5.027E+25    6.888E+03    8.240E+01    8.873E-07    4.006E+01    2.046E-83     r       4.8
6.662E+08    1.685E-12    5.027E+25    6.955E+03    8.635E+01    9.209E-07    3.988E+01    3.766E-83     r       4.8
6.661E+08    1.845E-12    5.027E+25    7.092E+03    9.471E+01    9.907E-07    3.951E+01    1.253E-82     r       4.8
6.661E+08    1.929E-12    5.027E+25    7.160E+03    9.912E+01    1.027E-06    3.932E+01    2.264E-82     r       4.7
6.661E+08    2.107E-12    5.027E+25    7.297E+03    1.084E+02    1.102E-06    3.894E+01    7.257E-82     r       4.7
6.660E+08    2.201E-12    5.027E+25    7.366E+03    1.133E+02    1.142E-06    3.875E+01    1.287E-81     r       4.7
6.660E+08    2.399E-12    5.027E+25    7.504E+03    1.237E+02    1.223E-06    3.837E+01    3.980E-81     r       4.7
6.660E+08    2.502E-12    5.027E+25    7.574E+03    1.291E+02    1.265E-06    3.818E+01    6.935E-81     r       4.7
6.659E+08    2.721E-12    5.027E+25    7.712E+03    1.406E+02    1.353E-06    3.780E+01    2.069E-80     r       4.7
6.659E+08    2.836E-12    5.027E+25    7.782E+03    1.466E+02    1.398E-06    3.761E+01    3.542E-80     r       4.7
6.659E+08    3.078E-12    5.027E+25    7.921E+03    1.592E+02    1.492E-06    3.724E+01    1.021E-79     r       4.7
6.659E+08    3.205E-12    5.027E+25    7.991E+03    1.659E+02    1.541E-06    3.706E+01    1.718E-79     r       4.7
6.658E+08    3.470E-12    5.027E+25    8.130E+03    1.798E+02    1.641E-06    3.670E+01    4.788E-79     r       4.7
6.658E+08    3.610E-12    5.027E+25    8.200E+03    1.871E+02    1.694E-06    3.652E+01    7.930E-79     r       4.6
6.657E+08    3.902E-12    5.027E+25    8.340E+03    2.024E+02    1.801E-06    3.616E+01    2.141E-78     r       4.6
