   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
6.791E+08    0.000E+00    7.207E+25    3.848E+03    1.695E+01    0.000E+00    8.493E+00    0.000E+00     *      99.9
6.784E+08    3.941E-14    7.207E+25    2.579E+03    5.272E-01    1.495E-08    4.741E+01    8.488E-115     r       4.8
6.777E+08    2.032E-13    7.207E+25    5.122E+03    9.696E+00    1.388E-07    2.558E+01    3.866E-92     r       2.7
6.774E+08    5.017E-13    7.207E+25    5.748E+03    2.644E+01    3.400E-07    3.501E+01    1.413E-88     r       8.1
6.772E+08    7.734E-13    7.207E+25    6.228E+03    4.170E+01    4.955E-07    3.574E+01    2.846E-86     r       5.6
6.771E+08    9.509E-13    7.207E+25    6.491E+03    5.168E+01    5.895E-07    3.553E+01    4.089E-85     r       5.2
6.771E+08    1.052E-12    7.207E+25    6.627E+03    5.735E+01    6.408E-07    3.534E+01    1.521E-84     r       5.0
6.770E+08    1.105E-12    7.207E+25    6.695E+03    6.036E+01    6.677E-07    3.522E+01    2.915E-84     r       5.0
6.770E+08    1.133E-12    7.207E+25    6.730E+03    6.192E+01    6.814E-07    3.516E+01    4.028E-84     r       5.0
6.770E+08    1.190E-12    7.207E+25    6.799E+03    6.512E+01    7.094E-07    3.504E+01    7.665E-84     r       4.9
6.770E+08    1.219E-12    7.207E+25    6.834E+03    6.677E+01    7.237E-07    3.498E+01    1.055E-83     r       4.9
6.770E+08    1.280E-12    7.207E+25    6.904E+03    7.018E+01    7.530E-07    3.484E+01    1.992E-83     r       4.9
6.770E+08    1.311E-12    7.207E+25    6.939E+03    7.193E+01    7.679E-07    3.477E+01    2.731E-83     r       4.9
6.769E+08    1.375E-12    7.207E+25    7.009E+03    7.554E+01    7.984E-07    3.463E+01    5.114E-83     r       4.9
6.769E+08    1.408E-12    7.207E+25    7.044E+03    7.740E+01    8.140E-07    3.456E+01    6.982E-83     r       4.8
6.769E+08    1.476E-12    7.207E+25    7.115E+03    8.122E+01    8.458E-07    3.441E+01    1.296E-82     r       4.8
6.769E+08    1.620E-12    7.207E+25    7.258E+03    8.932E+01    9.120E-07    3.410E+01    4.387E-82     r       4.8
6.769E+08    1.696E-12    7.207E+25    7.329E+03    9.361E+01    9.464E-07    3.394E+01    7.999E-82     r       4.8
6.768E+08    1.857E-12    7.207E+25    7.473E+03    1.027E+02    1.018E-06    3.362E+01    2.611E-81     r       4.8
6.768E+08    1.942E-12    7.207E+25    7.545E+03    1.074E+02    1.055E-06    3.346E+01    4.675E-81     r       4.7
6.767E+08    2.121E-12    7.207E+25    7.690E+03    1.175E+02    1.133E-06    3.314E+01    1.472E-80     r       4.7
6.767E+08    2.215E-12    7.207E+25    7.763E+03    1.229E+02    1.173E-06    3.297E+01    2.587E-80     r       4.7
6.767E+08    2.414E-12    7.207E+25    7.908E+03    1.341E+02    1.257E-06    3.265E+01    7.856E-80     r       4.7
6.767E+08    2.519E-12    7.207E+25    7.981E+03    1.400E+02    1.300E-06    3.249E+01    1.357E-79     r       4.7
6.766E+08    2.739E-12    7.207E+25    8.127E+03    1.524E+02    1.390E-06    3.216E+01    3.977E-79     r       4.7
6.766E+08    2.854E-12    7.207E+25    8.201E+03    1.589E+02    1.437E-06    3.200E+01    6.750E-79     r       4.7
6.766E+08    3.098E-12    7.207E+25    8.347E+03    1.726E+02    1.533E-06    3.169E+01    1.912E-78     r       4.7
6.765E+08    3.225E-12    7.207E+25    8.421E+03    1.798E+02    1.583E-06    3.153E+01    3.192E-78     r       4.7
6.765E+08    3.493E-12    7.207E+25    8.568E+03    1.949E+02    1.687E-06    3.122E+01    8.749E-78     r       4.7
6.765E+08    3.633E-12    7.207E+25    8.642E+03    2.028E+02    1.740E-06    3.107E+01    1.437E-77     r       4.6
6.764E+08    3.927E-12    7.207E+25    8.789E+03    2.194E+02    1.851E-06    3.077E+01    3.817E-77     r       4.6
6.764E+08    4.080E-12    7.207E+25    8.863E+03    2.280E+02    1.908E-06    3.062E+01    6.174E-77     r       4.6
6.764E+08    4.402E-12    7.207E+25    9.011E+03    2.462E+02    2.027E-06    3.033E+01    1.591E-76     r       4.6
6.763E+08    4.570E-12    7.207E+25    9.085E+03    2.557E+02    2.088E-06    3.018E+01    2.536E-76     r       4.6
6.763E+08    4.922E-12    7.207E+25    9.233E+03    2.756E+02    2.214E-06    2.990E+01    6.352E-76     r       4.6
6.763E+08    5.106E-12    7.207E+25    9.307E+03    2.860E+02    2.280E-06    2.976E+01    9.982E-76     r       4.6
6.762E+08    5.489E-12    7.207E+25    9.455E+03    3.076E+02    2.414E-06    2.948E+01    2.432E-75     r       4.6
6.762E+08    5.690E-12    7.207E+25    9.529E+03    3.189E+02    2.483E-06    2.934E+01    3.771E-75     r       4.6
6.762E+08    6.107E-12    7.207E+25    9.677E+03    3.425E+02    2.627E-06    2.908E+01    8.951E-75     r       4.6
6.762E+08    6.325E-12    7.207E+25    9.751E+03    3.549E+02    2.700E-06    2.894E+01    1.370E-74     r       4.6
6.761E+08    6.778E-12    7.207E+25    9.900E+03    3.805E+02    2.852E-06    2.869E+01    3.173E-74     r       4.6
6.761E+08    7.015E-12    7.207E+25    9.974E+03    3.939E+02    2.931E-06    2.856E+01    4.798E-74     r       4.6
6.760E+08    7.507E-12    7.207E+25    1.012E+04    4.217E+02    3.092E-06    2.831E+01    1.085E-73     r       4.6
6.760E+08    7.763E-12    7.207E+25    1.020E+04    4.362E+02    3.175E-06    2.818E+01    1.621E-73     r       4.6
6.760E+08    8.295E-12    7.207E+25    1.035E+04    4.663E+02    3.345E-06    2.794E+01    3.583E-73     r       4.6
6.760E+08    8.572E-12    7.207E+25    1.042E+04    4.820E+02    3.433E-06    2.782E+01    5.298E-73     r       4.6
6.759E+08    9.147E-12    7.207E+25    1.057E+04    5.146E+02    3.614E-06    2.759E+01    1.146E-72     r       4.6
6.759E+08    9.446E-12    7.207E+25    1.064E+04    5.315E+02    3.707E-06    2.747E+01    1.676E-72     r       4.6
6.759E+08    1.007E-11    7.207E+25    1.079E+04    5.667E+02    3.898E-06    2.724E+01    3.550E-72     r       4.6
6.758E+08    1.039E-11    7.207E+25    1.087E+04    5.849E+02    3.996E-06    2.713E+01    5.142E-72     r       4.6
6.758E+08    1.106E-11    7.207E+25    1.102E+04    6.228E+02    4.197E-06    2.691E+01    1.068E-71     r       4.6
6.758E+08    1.140E-11    7.207E+25    1.109E+04    6.425E+02    4.301E-06    2.680E+01    1.532E-71     r       4.6
6.757E+08    1.212E-11    7.207E+25    1.124E+04    6.832E+02    4.513E-06    2.658E+01    3.122E-71     r       4.6
6.757E+08    1.250E-11    7.207E+25    1.131E+04    7.044E+02    4.623E-06    2.648E+01    4.437E-71     r       4.6
6.757E+08    1.327E-11    7.207E+25    1.146E+04    7.482E+02    4.846E-06    2.627E+01    8.881E-71     r       4.6
6.756E+08    1.367E-11    7.207E+25    1.154E+04    7.709E+02    4.961E-06    2.617E+01    1.251E-70     r       4.6
6.756E+08    1.450E-11    7.207E+25    1.169E+04    8.179E+02    5.197E-06    2.597E+01    2.461E-70     r       4.6
6.756E+08    1.493E-11    7.207E+25    1.176E+04    8.422E+02    5.318E-06    2.587E+01    3.438E-70     r       4.6
6.755E+08    1.582E-11    7.207E+25    1.191E+04    8.926E+02    5.565E-06    2.567E+01    6.653E-70     r       4.6
6.755E+08    1.627E-11    7.207E+25    1.198E+04    9.186E+02    5.692E-06    2.557E+01    9.218E-70     r       4.6
6.755E+08    1.722E-11    7.207E+25    1.213E+04    9.725E+02    5.953E-06    2.538E+01    1.756E-69     r       4.6
6.755E+08    1.772E-11    7.207E+25    1.221E+04    1.000E+03    6.086E-06    2.529E+01    2.414E-69     r       4.6
6.754E+08    1.873E-11    7.207E+25    1.236E+04    1.058E+03    6.359E-06    2.510E+01    4.529E-69     r       4.6
6.754E+08    1.925E-11    7.207E+25    1.243E+04    1.088E+03    6.499E-06    2.501E+01    6.180E-69     r       4.6
6.753E+08    2.034E-11    7.207E+25    1.258E+04    1.149E+03    6.785E-06    2.483E+01    1.143E-68     r       4.6
6.753E+08    2.090E-11    7.207E+25    1.266E+04    1.181E+03    6.932E-06    2.474E+01    1.548E-68     r       4.6
6.753E+08    2.205E-11    7.207E+25    1.281E+04    1.247E+03    7.232E-06    2.457E+01    2.823E-68     r       4.6
6.753E+08    2.265E-11    7.207E+25    1.288E+04    1.281E+03    7.385E-06    2.448E+01    3.799E-68     r       4.6
6.752E+08    2.388E-11    7.207E+25    1.303E+04    1.350E+03    7.699E-06    2.431E+01    6.834E-68     r       4.6
6.752E+08    2.451E-11    7.207E+25    1.310E+04    1.386E+03    7.860E-06    2.423E+01    9.136E-68     r       4.6
6.752E+08    2.582E-11    7.207E+25    1.325E+04    1.461E+03    8.188E-06    2.406E+01    1.622E-67     r       4.6
6.751E+08    2.649E-11    7.207E+25    1.333E+04    1.499E+03    8.356E-06    2.398E+01    2.155E-67     r       4.6
6.751E+08    2.788E-11    7.207E+25    1.348E+04    1.578E+03    8.699E-06    2.382E+01    3.780E-67     r       4.6
6.751E+08    2.860E-11    7.207E+25    1.355E+04    1.619E+03    8.875E-06    2.374E+01    4.991E-67     r       4.6
6.750E+08    3.007E-11    7.207E+25    1.370E+04    1.703E+03    9.233E-06    2.358E+01    8.649E-67     r       4.6
6.750E+08    3.083E-11    7.207E+25    1.378E+04    1.746E+03    9.417E-06    2.351E+01    1.135E-66     r       4.6
6.750E+08    3.239E-11    7.207E+25    1.393E+04    1.835E+03    9.791E-06    2.335E+01    1.945E-66     r       4.6
6.749E+08    3.320E-11    7.207E+25    1.400E+04    1.881E+03    9.982E-06    2.328E+01    2.538E-66     r       4.6
6.749E+08    3.486E-11    7.207E+25    1.415E+04    1.975E+03    1.037E-05    2.313E+01    4.301E-66     r       4.6
6.749E+08    3.571E-11    7.207E+25    1.423E+04    2.024E+03    1.057E-05    2.305E+01    5.583E-66     r       4.6
6.748E+08    3.746E-11    7.207E+25    1.438E+04    2.124E+03    1.098E-05    2.291E+01    9.358E-66     r       4.6
6.747E+08    4.117E-11    7.207E+25    1.467E+04    2.335E+03    1.183E-05    2.262E+01    2.576E-65     r       4.6
6.747E+08    4.314E-11    7.207E+25    1.482E+04    2.447E+03    1.227E-05    2.249E+01    4.230E-65     r       4.6
6.746E+08    4.728E-11    7.207E+25    1.512E+04    2.683E+03    1.319E-05    2.222E+01    1.120E-64     r       4.6
6.746E+08    4.946E-11    7.207E+25    1.527E+04    2.808E+03    1.366E-05    2.208E+01    1.804E-64     r       4.6
6.745E+08    5.406E-11    7.207E+25    1.557E+04    3.071E+03    1.466E-05    2.183E+01    4.603E-64     r       4.6
6.745E+08    5.649E-11    7.207E+25    1.572E+04    3.209E+03    1.517E-05    2.170E+01    7.289E-64     r       4.6
6.744E+08    6.160E-11    7.207E+25    1.602E+04    3.501E+03    1.624E-05    2.145E+01    1.797E-63     r       4.6
6.743E+08    6.428E-11    7.207E+25    1.617E+04    3.655E+03    1.680E-05    2.133E+01    2.799E-63     r       4.6
6.742E+08    6.993E-11    7.207E+25    1.647E+04    3.977E+03    1.795E-05    2.110E+01    6.683E-63     r       4.6
