   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
6.454E+08    0.000E+00    6.879E+24    2.194E+03    1.756E+00    0.000E+00    6.048E+01    0.000E+00     *      99.9
6.448E+08    3.830E-14    6.879E+24    1.809E+03    2.764E-01    1.130E-08    1.636E+02    3.094E-128     r       7.6
6.441E+08    1.938E-13    6.879E+24    3.706E+03    5.016E+00    1.002E-07    7.633E+01    6.844E-102     r       2.6
6.438E+08    4.706E-13    6.879E+24    4.086E+03    1.347E+01    2.451E-07    1.110E+02    1.719E-98     r       9.4
6.436E+08    7.234E-13    6.879E+24    4.401E+03    2.121E+01    3.584E-07    1.160E+02    4.189E-96     r       6.0
6.435E+08    8.888E-13    6.879E+24    4.578E+03    2.627E+01    4.269E-07    1.162E+02    7.229E-95     r       5.4
6.435E+08    9.828E-13    6.879E+24    4.670E+03    2.915E+01    4.644E-07    1.160E+02    2.989E-94     r       5.2
6.435E+08    1.033E-12    6.879E+24    4.717E+03    3.068E+01    4.840E-07    1.157E+02    6.056E-94     r       5.1
6.435E+08    1.059E-12    6.879E+24    4.741E+03    3.147E+01    4.940E-07    1.156E+02    8.610E-94     r       5.1
6.435E+08    1.112E-12    6.879E+24    4.788E+03    3.310E+01    5.144E-07    1.153E+02    1.736E-93     r       5.1
6.434E+08    1.139E-12    6.879E+24    4.812E+03    3.394E+01    5.249E-07    1.152E+02    2.460E-93     r       5.0
6.434E+08    1.196E-12    6.879E+24    4.860E+03    3.568E+01    5.462E-07    1.149E+02    4.929E-93     r       5.0
6.434E+08    1.225E-12    6.879E+24    4.884E+03    3.657E+01    5.571E-07    1.147E+02    6.965E-93     r       5.0
6.434E+08    1.285E-12    6.879E+24    4.933E+03    3.840E+01    5.794E-07    1.143E+02    1.386E-92     r       5.0
6.434E+08    1.316E-12    6.879E+24    4.957E+03    3.935E+01    5.907E-07    1.141E+02    1.951E-92     r       4.9
6.434E+08    1.379E-12    6.879E+24    5.006E+03    4.130E+01    6.139E-07    1.137E+02    3.852E-92     r       4.9
6.433E+08    1.514E-12    6.879E+24    5.105E+03    4.542E+01    6.623E-07    1.129E+02    1.477E-91     r       4.9
6.433E+08    1.585E-12    6.879E+24    5.154E+03    4.761E+01    6.874E-07    1.124E+02    2.867E-91     r       4.8
6.433E+08    1.736E-12    6.879E+24    5.254E+03    5.222E+01    7.398E-07    1.115E+02    1.062E-90     r       4.8
6.432E+08    1.815E-12    6.879E+24    5.305E+03    5.466E+01    7.670E-07    1.110E+02    2.024E-90     r       4.8
6.432E+08    1.983E-12    6.879E+24    5.406E+03    5.980E+01    8.235E-07    1.100E+02    7.225E-90     r       4.8
6.432E+08    2.071E-12    6.879E+24    5.456E+03    6.251E+01    8.529E-07    1.095E+02    1.352E-89     r       4.8
6.431E+08    2.257E-12    6.879E+24    5.558E+03    6.823E+01    9.139E-07    1.085E+02    4.650E-89     r       4.7
