   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
6.958E+08    0.000E+00    6.240E+25    3.667E+03    1.364E+01    0.000E+00    1.005E+01    0.000E+00     *      99.9
6.951E+08    3.753E-14    6.240E+25    2.518E+03    4.576E-01    1.328E-08    5.860E+01    1.058E-115     r       5.0
6.944E+08    1.924E-13    6.240E+25    5.039E+03    8.320E+00    1.209E-07    3.028E+01    1.170E-92     r       2.7
6.940E+08    4.721E-13    6.240E+25    5.624E+03    2.255E+01    2.963E-07    4.226E+01    3.154E-89     r       8.4
6.939E+08    7.270E-13    6.240E+25    6.083E+03    3.554E+01    4.322E-07    4.344E+01    5.917E-87     r       5.7
6.938E+08    8.936E-13    6.240E+25    6.337E+03    4.404E+01    5.144E-07    4.328E+01    8.400E-86     r       5.2
6.937E+08    9.881E-13    6.240E+25    6.468E+03    4.886E+01    5.593E-07    4.308E+01    3.119E-85     r       5.1
6.937E+08    1.039E-12    6.240E+25    6.534E+03    5.143E+01    5.828E-07    4.296E+01    5.975E-85     r       5.0
6.937E+08    1.064E-12    6.240E+25    6.567E+03    5.276E+01    5.948E-07    4.290E+01    8.258E-85     r       5.0
6.937E+08    1.118E-12    6.240E+25    6.634E+03    5.549E+01    6.193E-07    4.276E+01    1.572E-84     r       5.0
6.937E+08    1.146E-12    6.240E+25    6.668E+03    5.689E+01    6.318E-07    4.269E+01    2.165E-84     r       4.9
6.936E+08    1.202E-12    6.240E+25    6.736E+03    5.979E+01    6.574E-07    4.254E+01    4.093E-84     r       4.9
6.936E+08    1.232E-12    6.240E+25    6.770E+03    6.129E+01    6.705E-07    4.246E+01    5.616E-84     r       4.9
6.936E+08    1.292E-12    6.240E+25    6.838E+03    6.436E+01    6.972E-07    4.229E+01    1.053E-83     r       4.9
6.936E+08    1.323E-12    6.240E+25    6.872E+03    6.595E+01    7.108E-07    4.221E+01    1.439E-83     r       4.9
6.936E+08    1.387E-12    6.240E+25    6.941E+03    6.921E+01    7.386E-07    4.204E+01    2.677E-83     r       4.8
6.935E+08    1.522E-12    6.240E+25    7.079E+03    7.611E+01    7.965E-07    4.167E+01    9.108E-83     r       4.8
6.935E+08    1.593E-12    6.240E+25    7.149E+03    7.977E+01    8.267E-07    4.149E+01    1.665E-82     r       4.8
6.935E+08    1.744E-12    6.240E+25    7.289E+03    8.749E+01    8.894E-07    4.111E+01    5.469E-82     r       4.8
6.934E+08    1.824E-12    6.240E+25    7.359E+03    9.156E+01    9.220E-07    4.092E+01    9.824E-82     r       4.8
