   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
2.439E+09    0.000E+00    2.490E+30    2.768E+04    3.501E+03    0.000E+00    4.247E-02    0.000E+00     *      99.9
2.437E+09    2.309E-14    2.490E+30    9.574E+03    2.443E+00    2.528E-09    1.788E-01    4.916E-78     r       2.1
2.435E+09    2.167E-13    2.490E+30    2.588E+04    1.400E+01    4.042E-08    7.498E-02    1.300E-57     c       1.5
2.433E+09    4.615E-13    2.490E+30    2.998E+04    2.866E+01    7.142E-08    7.263E-02    4.919E-55     r       4.7
2.433E+09    6.556E-13    2.490E+30    3.000E+04    4.029E+01    1.003E-07    8.462E-02    7.051E-55     *      99.9
2.432E+09    7.803E-13    2.490E+30    3.001E+04    4.777E+01    1.189E-07    9.192E-02    8.477E-55     *      99.9
2.432E+09    8.510E-13    2.490E+30    3.002E+04    5.202E+01    1.295E-07    9.594E-02    9.308E-55     *      99.9
2.432E+09    8.886E-13    2.490E+30    3.002E+04    5.428E+01    1.351E-07    9.805E-02    9.758E-55     *      99.9
2.432E+09    9.690E-13    2.490E+30    3.003E+04    5.911E+01    1.470E-07    1.025E-01    1.073E-54     *      99.9
2.432E+09    1.012E-12    2.490E+30    3.004E+04    6.168E+01    1.534E-07    1.048E-01    1.126E-54     *      99.9
2.432E+09    1.103E-12    2.490E+30    3.005E+04    6.715E+01    1.670E-07    1.097E-01    1.242E-54     *      99.9
2.432E+09    1.152E-12    2.490E+30    3.005E+04    7.007E+01    1.742E-07    1.122E-01    1.304E-54     *      99.9
2.432E+09    1.255E-12    2.490E+30    3.006E+04    7.629E+01    1.896E-07    1.176E-01    1.441E-54     *      99.9
2.432E+09    1.310E-12    2.490E+30    3.007E+04    7.961E+01    1.978E-07    1.204E-01    1.517E-54     *      99.9
2.431E+09    1.428E-12    2.490E+30    3.009E+04    8.667E+01    2.152E-07    1.263E-01    1.681E-54     *      99.9
2.431E+09    1.490E-12    2.490E+30    3.010E+04    9.043E+01    2.245E-07    1.293E-01    1.772E-54     *      99.9
2.431E+09    1.624E-12    2.490E+30    3.012E+04    9.845E+01    2.442E-07    1.358E-01    1.972E-54     *      99.9
2.431E+09    1.695E-12    2.490E+30    3.013E+04    1.027E+02    2.547E-07    1.391E-01    2.083E-54     *      99.9
2.431E+09    1.846E-12    2.490E+30    3.015E+04    1.118E+02    2.771E-07    1.462E-01    2.329E-54     *      99.9
2.431E+09    1.927E-12    2.490E+30    3.016E+04    1.167E+02    2.890E-07    1.498E-01    2.466E-54     *      99.1
2.431E+09    2.098E-12    2.490E+30    3.019E+04    1.270E+02    3.142E-07    1.574E-01    2.773E-54     r      89.7
2.431E+09    2.189E-12    2.490E+30    3.021E+04    1.325E+02    3.277E-07    1.614E-01    2.946E-54     r      81.4
2.430E+09    2.384E-12    2.490E+30    3.024E+04    1.442E+02    3.562E-07    1.697E-01    3.336E-54     r      73.8
2.430E+09    2.487E-12    2.490E+30    3.026E+04    1.504E+02    3.714E-07    1.740E-01    3.556E-54     r      67.0
2.430E+09    2.708E-12    2.490E+30    3.030E+04    1.637E+02    4.036E-07    1.829E-01    4.060E-54     r      60.8
