   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
7.071E+08    0.000E+00    8.706E+25    3.954E+03    1.832E+01    0.000E+00    7.730E+00    0.000E+00     *      99.9
7.064E+08    3.764E-14    8.706E+25    2.642E+03    4.915E-01    1.355E-08    5.028E+01    5.568E-114     r       4.8
7.057E+08    1.935E-13    8.706E+25    5.270E+03    8.926E+00    1.238E-07    2.639E+01    2.148E-91     r       2.7
7.053E+08    4.753E-13    8.706E+25    5.891E+03    2.422E+01    3.033E-07    3.659E+01    5.828E-88     r       8.3
7.052E+08    7.320E-13    8.706E+25    6.376E+03    3.817E+01    4.424E-07    3.753E+01    1.051E-85     r       5.7
7.051E+08    8.998E-13    8.706E+25    6.644E+03    4.730E+01    5.264E-07    3.736E+01    1.450E-84     r       5.2
7.050E+08    9.952E-13    8.706E+25    6.781E+03    5.248E+01    5.723E-07    3.718E+01    5.301E-84     r       5.1
7.050E+08    1.046E-12    8.706E+25    6.851E+03    5.524E+01    5.963E-07    3.707E+01    1.008E-83     r       5.0
7.050E+08    1.072E-12    8.706E+25    6.886E+03    5.666E+01    6.086E-07    3.701E+01    1.387E-83     r       5.0
7.050E+08    1.126E-12    8.706E+25    6.957E+03    5.959E+01    6.336E-07    3.689E+01    2.619E-83     r       5.0
7.050E+08    1.154E-12    8.706E+25    6.992E+03    6.110E+01    6.464E-07    3.683E+01    3.593E-83     r       4.9
7.049E+08    1.211E-12    8.706E+25    7.063E+03    6.422E+01    6.726E-07    3.669E+01    6.736E-83     r       4.9
7.049E+08    1.240E-12    8.706E+25    7.099E+03    6.582E+01    6.860E-07    3.662E+01    9.205E-83     r       4.9
7.049E+08    1.301E-12    8.706E+25    7.171E+03    6.913E+01    7.132E-07    3.648E+01    1.712E-82     r       4.9
7.049E+08    1.332E-12    8.706E+25    7.207E+03    7.083E+01    7.272E-07    3.640E+01    2.330E-82     r       4.9
7.049E+08    1.396E-12    8.706E+25    7.279E+03    7.433E+01    7.556E-07    3.625E+01    4.299E-82     r       4.8
7.048E+08    1.532E-12    8.706E+25    7.424E+03    8.174E+01    8.148E-07    3.594E+01    1.438E-81     r       4.8
7.048E+08    1.604E-12    8.706E+25    7.497E+03    8.566E+01    8.457E-07    3.578E+01    2.608E-81     r       4.8
7.048E+08    1.756E-12    8.706E+25    7.644E+03    9.395E+01    9.098E-07    3.544E+01    8.424E-81     r       4.8
7.047E+08    1.837E-12    8.706E+25    7.718E+03    9.833E+01    9.432E-07    3.528E+01    1.501E-80     r       4.7
7.047E+08    2.006E-12    8.706E+25    7.866E+03    1.076E+02    1.013E-06    3.494E+01    4.678E-80     r       4.7
7.047E+08    2.095E-12    8.706E+25    7.940E+03    1.124E+02    1.049E-06    3.477E+01    8.188E-80     r       4.7
7.046E+08    2.283E-12    8.706E+25    8.089E+03    1.227E+02    1.123E-06    3.443E+01    2.464E-79     r       4.7
7.046E+08    2.382E-12    8.706E+25    8.163E+03    1.281E+02    1.162E-06    3.426E+01    4.237E-79     r       4.7
7.046E+08    2.591E-12    8.706E+25    8.313E+03    1.395E+02    1.243E-06    3.392E+01    1.232E-78     r       4.7
7.045E+08    2.700E-12    8.706E+25    8.387E+03    1.454E+02    1.284E-06    3.376E+01    2.082E-78     r       4.7
7.045E+08    2.930E-12    8.706E+25    8.537E+03    1.580E+02    1.371E-06    3.343E+01    5.854E-78     r       4.7
7.045E+08    3.051E-12    8.706E+25    8.613E+03    1.646E+02    1.415E-06    3.326E+01    9.735E-78     r       4.7
7.044E+08    3.304E-12    8.706E+25    8.763E+03    1.784E+02    1.508E-06    3.294E+01    2.649E-77     r       4.7
7.044E+08    3.437E-12    8.706E+25    8.838E+03    1.856E+02    1.556E-06    3.278E+01    4.336E-77     r       4.7
7.044E+08    3.714E-12    8.706E+25    8.989E+03    2.008E+02    1.655E-06    3.246E+01    1.144E-76     r       4.6
7.043E+08    3.860E-12    8.706E+25    9.065E+03    2.088E+02    1.706E-06    3.230E+01    1.844E-76     r       4.6
7.043E+08    4.165E-12    8.706E+25    9.216E+03    2.254E+02    1.812E-06    3.199E+01    4.721E-76     r       4.6
7.043E+08    4.324E-12    8.706E+25    9.291E+03    2.341E+02    1.867E-06    3.184E+01    7.500E-76     r       4.6
7.042E+08    4.657E-12    8.706E+25    9.443E+03    2.523E+02    1.980E-06    3.154E+01    1.866E-75     r       4.6
7.042E+08    4.831E-12    8.706E+25    9.519E+03    2.618E+02    2.039E-06    3.139E+01    2.924E-75     r       4.6
7.042E+08    5.194E-12    8.706E+25    9.670E+03    2.817E+02    2.159E-06    3.110E+01    7.082E-75     r       4.6
7.041E+08    5.383E-12    8.706E+25    9.746E+03    2.920E+02    2.221E-06    3.096E+01    1.095E-74     r       4.6
7.041E+08    5.778E-12    8.706E+25    9.898E+03    3.137E+02    2.349E-06    3.068E+01    2.584E-74     r       4.6
7.041E+08    5.985E-12    8.706E+25    9.974E+03    3.249E+02    2.415E-06    3.054E+01    3.944E-74     r       4.6
7.040E+08    6.414E-12    8.706E+25    1.013E+04    3.484E+02    2.551E-06    3.026E+01    9.079E-74     r       4.6
7.040E+08    6.638E-12    8.706E+25    1.020E+04    3.607E+02    2.621E-06    3.013E+01    1.369E-73     r       4.6
7.040E+08    7.104E-12    8.706E+25    1.035E+04    3.862E+02    2.766E-06    2.987E+01    3.079E-73     r       4.6
7.039E+08    7.346E-12    8.706E+25    1.043E+04    3.995E+02    2.840E-06    2.974E+01    4.590E-73     r       4.6
7.039E+08    7.850E-12    8.706E+25    1.058E+04    4.271E+02    2.993E-06    2.948E+01    1.009E-72     r       4.6
7.039E+08    8.112E-12    8.706E+25    1.066E+04    4.414E+02    3.071E-06    2.935E+01    1.488E-72     r       4.6
7.038E+08    8.657E-12    8.706E+25    1.081E+04    4.713E+02    3.233E-06    2.910E+01    3.202E-72     r       4.6
7.038E+08    8.940E-12    8.706E+25    1.089E+04    4.868E+02    3.316E-06    2.898E+01    4.672E-72     r       4.6
7.038E+08    9.528E-12    8.706E+25    1.104E+04    5.190E+02    3.487E-06    2.874E+01    9.848E-72     r       4.6
7.037E+08    9.833E-12    8.706E+25    1.111E+04    5.357E+02    3.575E-06    2.862E+01    1.423E-71     r       4.6
7.037E+08    1.047E-11    8.706E+25    1.127E+04    5.705E+02    3.756E-06    2.839E+01    2.941E-71     r       4.6
7.037E+08    1.080E-11    8.706E+25    1.134E+04    5.885E+02    3.848E-06    2.827E+01    4.208E-71     r       4.6
7.036E+08    1.148E-11    8.706E+25    1.150E+04    6.259E+02    4.039E-06    2.805E+01    8.537E-71     r       4.6
