   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
7.253E+08    0.000E+00    2.906E+26    5.277E+03    5.929E+01    0.000E+00    2.837E+00    0.000E+00     *      99.9
7.246E+08    3.730E-14    2.906E+26    3.220E+03    6.970E-01    1.554E-08    2.810E+01    3.319E-107     r       4.0
7.238E+08    1.937E-13    2.906E+26    6.299E+03    1.265E+01    1.453E-07    1.608E+01    1.651E-86     r       2.8
7.235E+08    4.794E-13    2.906E+26    7.114E+03    3.453E+01    3.559E-07    2.151E+01    5.390E-83     r       7.6
7.233E+08    7.392E-13    2.906E+26    7.724E+03    5.446E+01    5.181E-07    2.179E+01    8.619E-81     r       5.4
7.232E+08    9.089E-13    2.906E+26    8.055E+03    6.749E+01    6.161E-07    2.161E+01    1.075E-79     r       5.1
7.232E+08    1.005E-12    2.906E+26    8.225E+03    7.488E+01    6.696E-07    2.147E+01    3.711E-79     r       5.0
7.231E+08    1.056E-12    2.906E+26    8.311E+03    7.881E+01    6.976E-07    2.139E+01    6.849E-79     r       4.9
7.231E+08    1.083E-12    2.906E+26    8.354E+03    8.084E+01    7.119E-07    2.135E+01    9.288E-79     r       4.9
7.231E+08    1.137E-12    2.906E+26    8.441E+03    8.502E+01    7.412E-07    2.127E+01    1.701E-78     r       4.9
7.231E+08    1.165E-12    2.906E+26    8.484E+03    8.717E+01    7.561E-07    2.123E+01    2.298E-78     r       4.9
7.231E+08    1.223E-12    2.906E+26    8.572E+03    9.161E+01    7.866E-07    2.114E+01    4.176E-78     r       4.8
7.231E+08    1.252E-12    2.906E+26    8.615E+03    9.390E+01    8.022E-07    2.109E+01    5.618E-78     r       4.8
7.230E+08    1.314E-12    2.906E+26    8.703E+03    9.860E+01    8.340E-07    2.100E+01    1.013E-77     r       4.8
7.230E+08    1.345E-12    2.906E+26    8.747E+03    1.010E+02    8.502E-07    2.096E+01    1.356E-77     r       4.8
7.230E+08    1.410E-12    2.906E+26    8.836E+03    1.060E+02    8.834E-07    2.086E+01    2.424E-77     r       4.8
7.230E+08    1.548E-12    2.906E+26    9.014E+03    1.166E+02    9.524E-07    2.067E+01    7.605E-77     r       4.8
7.229E+08    1.620E-12    2.906E+26    9.103E+03    1.222E+02    9.884E-07    2.057E+01    1.335E-76     r       4.7
7.229E+08    1.774E-12    2.906E+26    9.282E+03    1.340E+02    1.063E-06    2.037E+01    4.045E-76     r       4.7
7.229E+08    1.855E-12    2.906E+26    9.372E+03    1.402E+02    1.102E-06    2.027E+01    6.980E-76     r       4.7
7.228E+08    2.026E-12    2.906E+26    9.552E+03    1.534E+02    1.183E-06    2.007E+01    2.042E-75     r       4.7
7.228E+08    2.116E-12    2.906E+26    9.643E+03    1.603E+02    1.225E-06    1.996E+01    3.462E-75     r       4.7
7.228E+08    2.305E-12    2.906E+26    9.824E+03    1.749E+02    1.312E-06    1.976E+01    9.784E-75     r       4.7
7.227E+08    2.405E-12    2.906E+26    9.915E+03    1.826E+02    1.357E-06    1.966E+01    1.631E-74     r       4.7
7.227E+08    2.615E-12    2.906E+26    1.010E+04    1.988E+02    1.451E-06    1.947E+01    4.458E-74     r       4.7
7.227E+08    2.725E-12    2.906E+26    1.019E+04    2.073E+02    1.500E-06    1.937E+01    7.312E-74     r       4.7
7.226E+08    2.957E-12    2.906E+26    1.037E+04    2.251E+02    1.601E-06    1.918E+01    1.935E-73     r       4.7
7.226E+08    3.079E-12    2.906E+26    1.046E+04    2.345E+02    1.653E-06    1.908E+01    3.124E-73     r       4.6
7.225E+08    3.334E-12    2.906E+26    1.064E+04    2.542E+02    1.761E-06    1.889E+01    8.017E-73     r       4.6
7.225E+08    3.468E-12    2.906E+26    1.074E+04    2.645E+02    1.817E-06    1.880E+01    1.275E-72     r       4.6
7.225E+08    3.748E-12    2.906E+26    1.092E+04    2.861E+02    1.933E-06    1.862E+01    3.176E-72     r       4.6
7.225E+08    3.894E-12    2.906E+26    1.101E+04    2.974E+02    1.992E-06    1.853E+01    4.978E-72     r       4.6
7.224E+08    4.201E-12    2.906E+26    1.119E+04    3.211E+02    2.116E-06    1.835E+01    1.206E-71     r       4.6
7.224E+08    4.362E-12    2.906E+26    1.129E+04    3.334E+02    2.180E-06    1.826E+01    1.864E-71     r       4.6
7.223E+08    4.697E-12    2.906E+26    1.147E+04    3.593E+02    2.312E-06    1.809E+01    4.394E-71     r       4.6
7.223E+08    4.873E-12    2.906E+26    1.156E+04    3.729E+02    2.380E-06    1.800E+01    6.703E-71     r       4.6
7.223E+08    5.238E-12    2.906E+26    1.175E+04    4.011E+02    2.520E-06    1.783E+01    1.540E-70     r       4.6
7.223E+08    5.429E-12    2.906E+26    1.184E+04    4.158E+02    2.593E-06    1.775E+01    2.321E-70     r       4.6
7.222E+08    5.828E-12    2.906E+26    1.202E+04    4.466E+02    2.742E-06    1.759E+01    5.204E-70     r       4.6
7.222E+08    6.036E-12    2.906E+26    1.212E+04    4.626E+02    2.819E-06    1.751E+01    7.747E-70     r       4.6
7.221E+08    6.468E-12    2.906E+26    1.230E+04    4.961E+02    2.978E-06    1.735E+01    1.697E-69     r       4.6
7.221E+08    6.694E-12    2.906E+26    1.239E+04    5.135E+02    3.060E-06    1.728E+01    2.498E-69     r       4.6
7.221E+08    7.163E-12    2.906E+26    1.258E+04    5.498E+02    3.228E-06    1.712E+01    5.352E-69     r       4.6
7.220E+08    7.407E-12    2.906E+26    1.267E+04    5.686E+02    3.315E-06    1.705E+01    7.793E-69     r       4.6
7.220E+08    7.916E-12    2.906E+26    1.285E+04    6.079E+02    3.493E-06    1.690E+01    1.635E-68     r       4.6
7.220E+08    8.180E-12    2.906E+26    1.295E+04    6.284E+02    3.585E-06    1.683E+01    2.356E-68     r       4.6
7.219E+08    8.729E-12    2.906E+26    1.313E+04    6.708E+02    3.774E-06    1.669E+01    4.843E-68     r       4.6
7.219E+08    9.014E-12    2.906E+26    1.322E+04    6.929E+02    3.871E-06    1.662E+01    6.910E-68     r       4.6
7.219E+08    9.607E-12    2.906E+26    1.341E+04    7.387E+02    4.070E-06    1.648E+01    1.393E-67     r       4.6
7.218E+08    9.914E-12    2.906E+26    1.350E+04    7.625E+02    4.173E-06    1.641E+01    1.969E-67     r       4.6
7.218E+08    1.055E-11    2.906E+26    1.369E+04    8.119E+02    4.383E-06    1.628E+01    3.899E-67     r       4.6
7.218E+08    1.088E-11    2.906E+26    1.378E+04    8.375E+02    4.492E-06    1.621E+01    5.462E-67     r       4.6
7.217E+08    1.157E-11    2.906E+26    1.396E+04    8.907E+02    4.714E-06    1.608E+01    1.062E-66     r       4.6
7.217E+08    1.193E-11    2.906E+26    1.406E+04    9.182E+02    4.828E-06    1.602E+01    1.476E-66     r       4.6
7.217E+08    1.266E-11    2.906E+26    1.424E+04    9.754E+02    5.062E-06    1.589E+01    2.822E-66     r       4.6
7.216E+08    1.305E-11    2.906E+26    1.433E+04    1.005E+03    5.182E-06    1.583E+01    3.887E-66     r       4.6
7.216E+08    1.384E-11    2.906E+26    1.452E+04    1.066E+03    5.428E-06    1.571E+01    7.317E-66     r       4.6
7.216E+08    1.425E-11    2.906E+26    1.461E+04    1.098E+03    5.554E-06    1.565E+01    1.000E-65     r       4.6
7.215E+08    1.509E-11    2.906E+26    1.480E+04    1.164E+03    5.813E-06    1.553E+01    1.853E-65     r       4.6
7.215E+08    1.553E-11    2.906E+26    1.489E+04    1.198E+03    5.946E-06    1.547E+01    2.514E-65     r       4.6
7.215E+08    1.644E-11    2.906E+26    1.508E+04    1.268E+03    6.218E-06    1.536E+01    4.591E-65     r       4.6
7.214E+08    1.691E-11    2.906E+26    1.517E+04    1.304E+03    6.358E-06    1.530E+01    6.182E-65     r       4.6
7.214E+08    1.788E-11    2.906E+26    1.535E+04    1.379E+03    6.643E-06    1.519E+01    1.113E-64     r       4.6
7.214E+08    1.838E-11    2.906E+26    1.545E+04    1.418E+03    6.789E-06    1.513E+01    1.488E-64     r       4.6
7.213E+08    1.941E-11    2.906E+26    1.563E+04    1.498E+03    7.089E-06    1.502E+01    2.644E-64     r       4.6
7.213E+08    1.994E-11    2.906E+26    1.573E+04    1.540E+03    7.242E-06    1.497E+01    3.512E-64     r       4.6
7.213E+08    2.105E-11    2.906E+26    1.591E+04    1.625E+03    7.556E-06    1.486E+01    6.158E-64     r       4.6
7.212E+08    2.161E-11    2.906E+26    1.600E+04    1.670E+03    7.716E-06    1.481E+01    8.127E-64     r       4.6
7.212E+08    2.279E-11    2.906E+26    1.619E+04    1.761E+03    8.045E-06    1.471E+01    1.407E-63     r       4.6
7.212E+08    2.339E-11    2.906E+26    1.628E+04    1.808E+03    8.213E-06    1.466E+01    1.846E-63     r       4.6
7.211E+08    2.464E-11    2.906E+26    1.647E+04    1.905E+03    8.556E-06    1.456E+01    3.158E-63     r       4.6
7.211E+08    2.529E-11    2.906E+26    1.656E+04    1.955E+03    8.732E-06    1.451E+01    4.118E-63     r       4.6
7.211E+08    2.661E-11    2.906E+26    1.675E+04    2.058E+03    9.091E-06    1.441E+01    6.963E-63     r       4.6
