   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
2.129E+09    0.000E+00    1.274E+30    2.506E+04    3.395E+03    0.000E+00    4.600E-02    0.000E+00     *      99.9
2.127E+09    3.975E-14    1.274E+30    8.776E+03    2.111E+00    5.231E-09    3.854E-01    9.969E-80     r       2.1
2.125E+09    2.204E-13    1.274E+30    2.373E+04    1.401E+01    4.411E-08    9.358E-02    5.209E-59     c       1.6
2.124E+09    4.422E-13    1.274E+30    2.749E+04    2.867E+01    7.792E-08    9.015E-02    2.322E-56     r       4.7
2.123E+09    6.181E-13    1.274E+30    2.750E+04    4.030E+01    1.095E-07    1.075E-01    3.340E-56     *      99.9
2.123E+09    7.312E-13    1.274E+30    2.752E+04    4.778E+01    1.297E-07    1.181E-01    4.026E-56     *      99.9
2.123E+09    7.953E-13    1.274E+30    2.752E+04    5.202E+01    1.412E-07    1.239E-01    4.428E-56     *      99.9
2.123E+09    8.293E-13    1.274E+30    2.753E+04    5.429E+01    1.473E-07    1.270E-01    4.646E-56     *      99.9
2.123E+09    9.022E-13    1.274E+30    2.754E+04    5.911E+01    1.604E-07    1.334E-01    5.122E-56     *      99.9
2.122E+09    9.409E-13    1.274E+30    2.754E+04    6.168E+01    1.673E-07    1.368E-01    5.381E-56     *      99.9
2.122E+09    1.024E-12    1.274E+30    2.755E+04    6.715E+01    1.821E-07    1.438E-01    5.947E-56     *      99.9
2.122E+09    1.068E-12    1.274E+30    2.756E+04    7.007E+01    1.899E-07    1.475E-01    6.257E-56     *      99.9
2.122E+09    1.161E-12    1.274E+30    2.758E+04    7.629E+01    2.067E-07    1.552E-01    6.938E-56     *      99.9
2.122E+09    1.211E-12    1.274E+30    2.758E+04    7.960E+01    2.156E-07    1.593E-01    7.313E-56     *      99.9
2.122E+09    1.318E-12    1.274E+30    2.760E+04    8.666E+01    2.346E-07    1.677E-01    8.142E-56     *      99.9
2.122E+09    1.374E-12    1.274E+30    2.761E+04    9.042E+01    2.447E-07    1.721E-01    8.600E-56     *      99.9
2.122E+09    1.495E-12    1.274E+30    2.763E+04    9.843E+01    2.661E-07    1.814E-01    9.622E-56     *      99.9
2.122E+09    1.559E-12    1.274E+30    2.764E+04    1.027E+02    2.775E-07    1.862E-01    1.019E-55     *      99.9
2.122E+09    1.696E-12    1.274E+30    2.767E+04    1.118E+02    3.018E-07    1.962E-01    1.147E-55     r      90.4
2.121E+09    1.769E-12    1.274E+30    2.768E+04    1.166E+02    3.147E-07    2.014E-01    1.219E-55     r      81.9
2.121E+09    1.924E-12    1.274E+30    2.771E+04    1.269E+02    3.421E-07    2.123E-01    1.382E-55     r      74.0
2.121E+09    2.007E-12    1.274E+30    2.773E+04    1.324E+02    3.567E-07    2.179E-01    1.474E-55     r      67.1
2.121E+09    2.183E-12    1.274E+30    2.777E+04    1.441E+02    3.876E-07    2.296E-01    1.685E-55     r      60.7
2.121E+09    2.276E-12    1.274E+30    2.779E+04    1.503E+02    4.040E-07    2.357E-01    1.807E-55     r      55.1
2.121E+09    2.343E-12    1.274E+30    2.781E+04    1.547E+02    1.052E-08    4.486E-02    4.799E-57     r      54.2
2.121E+09    2.353E-12    1.274E+30    2.781E+04    1.554E+02    1.243E-08    4.640E-02    5.671E-57     *      99.9
2.120E+09    2.381E-12    1.274E+30    2.781E+04    1.573E+02    1.733E-08    5.018E-02    7.921E-57     *      99.9
2.119E+09    2.474E-12    1.274E+30    2.781E+04    1.635E+02    3.364E-08    6.150E-02    1.548E-56     *      99.9
2.117E+09    2.993E-12    1.274E+30    2.786E+04    1.981E+02    1.240E-07    1.117E-01    6.051E-56     *      99.9
2.116E+09    3.648E-12    1.274E+30    2.795E+04    2.421E+02    2.359E-07    1.626E-01    1.292E-55     r      63.2
2.115E+09    4.170E-12    1.274E+30    2.804E+04    2.771E+02    3.231E-07    1.975E-01    1.991E-55     r      41.5
2.115E+09    4.498E-12    1.274E+30    2.810E+04    2.992E+02    3.771E-07    2.176E-01    2.530E-55     r      32.9
2.115E+09    4.683E-12    1.274E+30    2.814E+04    3.115E+02    4.071E-07    2.282E-01    2.873E-55     r      29.1
