   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
7.212E+08    0.000E+00    1.627E+26    4.578E+03    3.298E+01    0.000E+00    4.643E+00    0.000E+00     *      99.9
7.205E+08    3.775E-14    1.627E+26    2.915E+03    5.785E-01    1.436E-08    3.738E+01    1.437E-110     r       4.4
7.197E+08    1.943E-13    1.627E+26    5.761E+03    1.050E+01    1.325E-07    2.040E+01    6.394E-89     r       2.7
7.194E+08    4.787E-13    1.627E+26    6.470E+03    2.856E+01    3.246E-07    2.784E+01    1.857E-85     r       8.0
7.192E+08    7.377E-13    1.627E+26    7.013E+03    4.502E+01    4.731E-07    2.839E+01    3.136E-83     r       5.6
7.191E+08    9.069E-13    1.627E+26    7.311E+03    5.579E+01    5.627E-07    2.821E+01    4.108E-82     r       5.1
7.191E+08    1.003E-12    1.627E+26    7.463E+03    6.190E+01    6.118E-07    2.805E+01    1.459E-81     r       5.0
7.190E+08    1.054E-12    1.627E+26    7.541E+03    6.515E+01    6.374E-07    2.796E+01    2.732E-81     r       5.0
7.190E+08    1.080E-12    1.627E+26    7.580E+03    6.683E+01    6.505E-07    2.791E+01    3.732E-81     r       4.9
7.190E+08    1.135E-12    1.627E+26    7.658E+03    7.029E+01    6.772E-07    2.781E+01    6.939E-81     r       4.9
7.190E+08    1.163E-12    1.627E+26    7.697E+03    7.207E+01    6.909E-07    2.776E+01    9.444E-81     r       4.9
7.190E+08    1.220E-12    1.627E+26    7.776E+03    7.574E+01    7.188E-07    2.765E+01    1.743E-80     r       4.9
7.190E+08    1.250E-12    1.627E+26    7.815E+03    7.763E+01    7.331E-07    2.760E+01    2.363E-80     r       4.9
7.189E+08    1.311E-12    1.627E+26    7.894E+03    8.152E+01    7.622E-07    2.748E+01    4.324E-80     r       4.8
7.189E+08    1.343E-12    1.627E+26    7.934E+03    8.353E+01    7.771E-07    2.743E+01    5.839E-80     r       4.8
7.189E+08    1.407E-12    1.627E+26    8.014E+03    8.765E+01    8.074E-07    2.731E+01    1.060E-79     r       4.8
7.189E+08    1.545E-12    1.627E+26    8.175E+03    9.639E+01    8.706E-07    2.706E+01    3.433E-79     r       4.8
7.188E+08    1.617E-12    1.627E+26    8.255E+03    1.010E+02    9.035E-07    2.694E+01    6.124E-79     r       4.8
7.188E+08    1.770E-12    1.627E+26    8.417E+03    1.108E+02    9.720E-07    2.668E+01    1.915E-78     r       4.7
7.188E+08    1.851E-12    1.627E+26    8.499E+03    1.159E+02    1.008E-06    2.655E+01    3.357E-78     r       4.7
7.187E+08    2.022E-12    1.627E+26    8.662E+03    1.268E+02    1.082E-06    2.629E+01    1.013E-77     r       4.7
7.187E+08    2.112E-12    1.627E+26    8.744E+03    1.326E+02    1.120E-06    2.616E+01    1.745E-77     r       4.7
7.186E+08    2.301E-12    1.627E+26    8.908E+03    1.447E+02    1.200E-06    2.590E+01    5.089E-77     r       4.7
7.186E+08    2.401E-12    1.627E+26    8.990E+03    1.510E+02    1.241E-06    2.578E+01    8.615E-77     r       4.7
7.186E+08    2.611E-12    1.627E+26    9.155E+03    1.644E+02    1.327E-06    2.552E+01    2.428E-76     r       4.7
7.186E+08    2.721E-12    1.627E+26    9.237E+03    1.714E+02    1.372E-06    2.539E+01    4.042E-76     r       4.7
7.185E+08    2.953E-12    1.627E+26    9.403E+03    1.862E+02    1.464E-06    2.514E+01    1.102E-75     r       4.7
7.185E+08    3.074E-12    1.627E+26    9.485E+03    1.940E+02    1.512E-06    2.502E+01    1.806E-75     r       4.7
7.184E+08    3.329E-12    1.627E+26    9.651E+03    2.103E+02    1.611E-06    2.477E+01    4.770E-75     r       4.6
7.184E+08    3.463E-12    1.627E+26    9.734E+03    2.188E+02    1.662E-06    2.465E+01    7.695E-75     r       4.6
7.184E+08    3.742E-12    1.627E+26    9.900E+03    2.367E+02    1.768E-06    2.441E+01    1.972E-74     r       4.6
7.184E+08    3.889E-12    1.627E+26    9.984E+03    2.460E+02    1.822E-06    2.429E+01    3.134E-74     r       4.6
7.183E+08    4.196E-12    1.627E+26    1.015E+04    2.656E+02    1.935E-06    2.406E+01    7.804E-74     r       4.6
7.183E+08    4.356E-12    1.627E+26    1.023E+04    2.759E+02    1.994E-06    2.394E+01    1.223E-73     r       4.6
7.182E+08    4.691E-12    1.627E+26    1.040E+04    2.973E+02    2.115E-06    2.372E+01    2.961E-73     r       4.6
7.182E+08    4.866E-12    1.627E+26    1.048E+04    3.085E+02    2.177E-06    2.361E+01    4.577E-73     r       4.6
7.182E+08    5.232E-12    1.627E+26    1.065E+04    3.319E+02    2.305E-06    2.339E+01    1.080E-72     r       4.6
7.182E+08    5.423E-12    1.627E+26    1.073E+04    3.441E+02    2.372E-06    2.328E+01    1.647E-72     r       4.6
7.181E+08    5.821E-12    1.627E+26    1.090E+04    3.696E+02    2.509E-06    2.307E+01    3.789E-72     r       4.6
7.181E+08    6.029E-12    1.627E+26    1.098E+04    3.829E+02    2.579E-06    2.296E+01    5.711E-72     r       4.6
7.180E+08    6.461E-12    1.627E+26    1.115E+04    4.106E+02    2.724E-06    2.276E+01    1.282E-71     r       4.6
7.180E+08    6.686E-12    1.627E+26    1.124E+04    4.250E+02    2.799E-06    2.266E+01    1.910E-71     r       4.6
7.180E+08    7.155E-12    1.627E+26    1.140E+04    4.550E+02    2.953E-06    2.246E+01    4.192E-71     r       4.6
7.180E+08    7.400E-12    1.627E+26    1.149E+04    4.706E+02    3.032E-06    2.236E+01    6.175E-71     r       4.6
7.179E+08    7.907E-12    1.627E+26    1.165E+04    5.032E+02    3.196E-06    2.217E+01    1.326E-70     r       4.6
7.179E+08    8.171E-12    1.627E+26    1.174E+04    5.201E+02    3.280E-06    2.207E+01    1.933E-70     r       4.6
7.178E+08    8.720E-12    1.627E+26    1.191E+04    5.552E+02    3.452E-06    2.188E+01    4.064E-70     r       4.6
7.178E+08    9.005E-12    1.627E+26    1.199E+04    5.735E+02    3.541E-06    2.179E+01    5.863E-70     r       4.6
7.178E+08    9.597E-12    1.627E+26    1.216E+04    6.115E+02    3.724E-06    2.161E+01    1.209E-69     r       4.6
7.177E+08    9.904E-12    1.627E+26    1.224E+04    6.312E+02    3.817E-06    2.152E+01    1.727E-69     r       4.6
7.177E+08    1.054E-11    1.627E+26    1.241E+04    6.721E+02    4.010E-06    2.135E+01    3.493E-69     r       4.6
7.177E+08    1.087E-11    1.627E+26    1.249E+04    6.933E+02    4.109E-06    2.126E+01    4.944E-69     r       4.6
7.176E+08    1.156E-11    1.627E+26    1.266E+04    7.373E+02    4.312E-06    2.109E+01    9.820E-69     r       4.6
7.176E+08    1.191E-11    1.627E+26    1.274E+04    7.601E+02    4.417E-06    2.101E+01    1.378E-68     r       4.6
7.176E+08    1.265E-11    1.627E+26    1.291E+04    8.074E+02    4.631E-06    2.084E+01    2.690E-68     r       4.6
7.175E+08    1.303E-11    1.627E+26    1.300E+04    8.319E+02    4.741E-06    2.076E+01    3.742E-68     r       4.6
7.175E+08    1.382E-11    1.627E+26    1.317E+04    8.827E+02    4.966E-06    2.060E+01    7.184E-68     r       4.6
7.175E+08    1.423E-11    1.627E+26    1.325E+04    9.089E+02    5.081E-06    2.052E+01    9.914E-68     r       4.6
7.174E+08    1.508E-11    1.627E+26    1.342E+04    9.633E+02    5.318E-06    2.036E+01    1.873E-67     r       4.6
7.174E+08    1.552E-11    1.627E+26    1.350E+04    9.915E+02    5.440E-06    2.029E+01    2.565E-67     r       4.6
7.174E+08    1.642E-11    1.627E+26    1.367E+04    1.050E+03    5.689E-06    2.014E+01    4.773E-67     r       4.6
7.173E+08    1.689E-11    1.627E+26    1.375E+04    1.080E+03    5.816E-06    2.006E+01    6.487E-67     r       4.6
7.173E+08    1.786E-11    1.627E+26    1.392E+04    1.142E+03    6.077E-06    1.992E+01    1.190E-66     r       4.6
7.173E+08    1.836E-11    1.627E+26    1.401E+04    1.174E+03    6.211E-06    1.984E+01    1.605E-66     r       4.6
7.172E+08    1.939E-11    1.627E+26    1.417E+04    1.241E+03    6.485E-06    1.970E+01    2.903E-66     r       4.6
7.172E+08    1.993E-11    1.627E+26    1.426E+04    1.275E+03    6.625E-06    1.963E+01    3.890E-66     r       4.6
7.172E+08    2.103E-11    1.627E+26    1.443E+04    1.346E+03    6.912E-06    1.949E+01    6.941E-66     r       4.6
7.171E+08    2.160E-11    1.627E+26    1.451E+04    1.382E+03    7.059E-06    1.942E+01    9.241E-66     r       4.6
7.171E+08    2.277E-11    1.627E+26    1.468E+04    1.458E+03    7.359E-06    1.929E+01    1.627E-65     r       4.6
