   r        Qm       L_r       T        P        rho      kap      eps     fl   dlnPdlnT
8.975E+08    0.000E+00    7.795E+27    1.079E+04    8.358E+02    0.000E+00    2.628E-01    0.000E+00     *      99.9
8.966E+08    4.186E-14    7.795E+27    5.204E+03    1.464E+00    1.836E-08    6.010E+00    1.426E-92     r       2.9
8.957E+08    2.213E-13    7.795E+27    8.500E+03    2.485E+01    2.069E-07    7.494E+00    6.957E-79     r       3.7
8.953E+08    5.814E-13    7.795E+27    1.103E+04    7.192E+01    4.620E-07    5.744E+00    1.233E-72     r       3.8
8.951E+08    8.981E-13    7.795E+27    1.217E+04    1.134E+02    6.621E-07    5.431E+00    2.228E-70     r       4.5
8.950E+08    1.103E-12    7.795E+27    1.274E+04    1.402E+02    7.830E-07    5.286E+00    2.405E-69     r       4.6
8.949E+08    1.219E-12    7.795E+27    1.303E+04    1.553E+02    8.491E-07    5.217E+00    7.513E-69     r       4.6
8.949E+08    1.280E-12    7.795E+27    1.317E+04    1.634E+02    8.836E-07    5.184E+00    1.312E-68     r       4.6
8.949E+08    1.312E-12    7.795E+27    1.324E+04    1.675E+02    9.013E-07    5.167E+00    1.729E-68     r       4.6
8.948E+08    1.377E-12    7.795E+27    1.339E+04    1.761E+02    9.374E-07    5.134E+00    2.986E-68     r       4.6
8.948E+08    1.410E-12    7.795E+27    1.346E+04    1.805E+02    9.558E-07    5.118E+00    3.913E-68     r       4.6
8.948E+08    1.480E-12    7.795E+27    1.360E+04    1.896E+02    9.935E-07    5.086E+00    6.683E-68     r       4.6
8.948E+08    1.515E-12    7.795E+27    1.368E+04    1.942E+02    1.013E-06    5.070E+00    8.710E-68     r       4.6
8.947E+08    1.588E-12    7.795E+27    1.382E+04    2.038E+02    1.052E-06    5.039E+00    1.472E-67     r       4.6
8.947E+08    1.743E-12    7.795E+27    1.411E+04    2.241E+02    1.134E-06    4.977E+00    4.115E-67     r       4.6
8.947E+08    1.825E-12    7.795E+27    1.425E+04    2.349E+02    1.177E-06    4.947E+00    6.814E-67     r       4.6
8.946E+08    1.998E-12    7.795E+27    1.454E+04    2.576E+02    1.265E-06    4.889E+00    1.832E-66     r       4.6
8.946E+08    2.090E-12    7.795E+27    1.469E+04    2.696E+02    1.312E-06    4.860E+00    2.976E-66     r       4.6
8.945E+08    2.282E-12    7.795E+27    1.498E+04    2.949E+02    1.408E-06    4.804E+00    7.713E-66     r       4.6
8.945E+08    2.384E-12    7.795E+27    1.512E+04    3.082E+02    1.458E-06    4.777E+00    1.231E-65     r       4.6
8.944E+08    2.598E-12    7.795E+27    1.541E+04    3.363E+02    1.561E-06    4.723E+00    3.082E-65     r       4.6
8.944E+08    2.710E-12    7.795E+27    1.556E+04    3.511E+02    1.615E-06    4.697E+00    4.837E-65     r       4.6
8.944E+08    2.947E-12    7.795E+27    1.585E+04    3.822E+02    1.727E-06    4.646E+00    1.172E-64     r       4.6
8.943E+08    3.072E-12    7.795E+27    1.599E+04    3.985E+02    1.785E-06    4.621E+00    1.811E-64     r       4.6
8.943E+08    3.333E-12    7.795E+27    1.628E+04    4.329E+02    1.905E-06    4.572E+00    4.260E-64     r       4.6
8.942E+08    3.470E-12    7.795E+27    1.643E+04    4.509E+02    1.967E-06    4.548E+00    6.485E-64     r       4.6
8.942E+08    3.758E-12    7.795E+27    1.672E+04    4.887E+02    2.096E-06    4.500E+00    1.482E-63     r       4.6
8.942E+08    3.909E-12    7.795E+27    1.686E+04    5.085E+02    2.163E-06    4.477E+00    2.225E-63     r       4.6
8.941E+08    4.225E-12    7.795E+27    1.715E+04    5.501E+02    2.301E-06    4.432E+00    4.948E-63     r       4.6
8.941E+08    4.390E-12    7.795E+27    1.730E+04    5.719E+02    2.372E-06    4.410E+00    7.332E-63     r       4.6
8.940E+08    4.737E-12    7.795E+27    1.759E+04    6.174E+02    2.520E-06    4.366E+00    1.590E-62     r       4.6
8.940E+08    4.918E-12    7.795E+27    1.774E+04    6.412E+02    2.596E-06    4.345E+00    2.326E-62     r       4.6
8.939E+08    5.297E-12    7.795E+27    1.803E+04    6.911E+02    2.754E-06    4.303E+00    4.924E-62     r       4.6
8.939E+08    5.494E-12    7.795E+27    1.817E+04    7.171E+02    2.835E-06    4.282E+00    7.122E-62     r       4.6
8.938E+08    5.908E-12    7.795E+27    1.846E+04    7.715E+02    3.003E-06    4.242E+00    1.473E-61     r       4.6
8.938E+08    6.123E-12    7.795E+27    1.861E+04    7.999E+02    3.090E-06    4.222E+00    2.108E-61     r       4.6
8.938E+08    6.573E-12    7.795E+27    1.890E+04    8.592E+02    3.269E-06    4.183E+00    4.267E-61     r       4.6
8.937E+08    6.808E-12    7.795E+27    1.905E+04    8.901E+02    3.361E-06    4.164E+00    6.040E-61     r       4.6
8.937E+08    7.297E-12    7.795E+27    1.934E+04    9.545E+02    3.551E-06    4.126E+00    1.198E-60     r       4.6
8.937E+08    7.552E-12    7.795E+27    1.948E+04    9.880E+02    3.649E-06    4.108E+00    1.679E-60     r       4.6
8.936E+08    8.082E-12    7.795E+27    1.978E+04    1.058E+03    3.851E-06    4.072E+00    3.265E-60     r       4.6
8.936E+08    8.358E-12    7.795E+27    1.992E+04    1.094E+03    3.955E-06    4.054E+00    4.532E-60     r       4.6
8.935E+08    8.933E-12    7.795E+27    2.021E+04    1.170E+03    4.169E-06    4.019E+00    8.653E-60     r       4.6
8.935E+08    9.232E-12    7.795E+27    2.036E+04    1.209E+03    4.279E-06    4.001E+00    1.190E-59     r       4.6
8.934E+08    9.853E-12    7.795E+27    2.065E+04    1.291E+03    4.505E-06    3.968E+00    2.233E-59     r       4.6
8.934E+08    1.018E-11    7.795E+27    2.080E+04    1.334E+03    4.622E-06    3.951E+00    3.045E-59     r       4.6
8.933E+08    1.085E-11    7.795E+27    2.109E+04    1.422E+03    4.861E-06    3.918E+00    5.617E-59     r       4.6
8.933E+08    1.119E-11    7.795E+27    2.124E+04    1.468E+03    4.985E-06    3.902E+00    7.598E-59     r       4.6
8.933E+08    1.192E-11    7.795E+27    2.153E+04    1.564E+03    5.238E-06    3.870E+00    1.379E-58     r       4.6
8.932E+08    1.229E-11    7.795E+27    2.168E+04    1.613E+03    5.368E-06    3.855E+00    1.851E-58     r       4.6
8.932E+08    1.307E-11    7.795E+27    2.197E+04    1.716E+03    5.635E-06    3.824E+00    3.309E-58     r       4.6
8.931E+08    1.347E-11    7.795E+27    2.212E+04    1.769E+03    5.772E-06    3.809E+00    4.407E-58     r       4.6
8.931E+08    1.431E-11    7.795E+27    2.241E+04    1.879E+03    6.053E-06    3.779E+00    7.764E-58     r       4.6
8.931E+08    1.474E-11    7.795E+27    2.256E+04    1.937E+03    6.198E-06    3.764E+00    1.027E-57     r       4.6
8.930E+08    1.564E-11    7.795E+27    2.285E+04    2.055E+03    6.494E-06    3.735E+00    1.784E-57     r       4.6
8.930E+08    1.610E-11    7.795E+27    2.300E+04    2.117E+03    6.647E-06    3.721E+00    2.343E-57     r       4.6
8.929E+08    1.706E-11    7.795E+27    2.329E+04    2.244E+03    6.958E-06    3.693E+00    4.015E-57     r       4.6
8.929E+08    1.756E-11    7.795E+27    2.344E+04    2.309E+03    7.118E-06    3.679E+00    5.240E-57     r       4.6
8.928E+08    1.859E-11    7.795E+27    2.373E+04    2.445E+03    7.446E-06    3.652E+00    8.866E-57     r       4.6
8.928E+08    1.912E-11    7.795E+27    2.388E+04    2.516E+03    7.614E-06    3.639E+00    1.150E-56     r       4.6
8.928E+08    2.022E-11    7.795E+27    2.417E+04    2.661E+03    7.959E-06    3.612E+00    1.921E-56     r       4.6
8.927E+08    2.079E-11    7.795E+27    2.432E+04    2.736E+03    8.135E-06    3.599E+00    2.477E-56     r       4.6
8.927E+08    2.196E-11    7.795E+27    2.461E+04    2.892E+03    8.496E-06    3.573E+00    4.091E-56     r       4.6
8.926E+08    2.257E-11    7.795E+27    2.476E+04    2.972E+03    8.681E-06    3.561E+00    5.242E-56     r       4.6
8.926E+08    2.382E-11    7.795E+27    2.505E+04    3.138E+03    9.060E-06    3.536E+00    8.561E-56     r       4.6
8.926E+08    2.447E-11    7.795E+27    2.520E+04    3.223E+03    9.254E-06    3.523E+00    1.091E-55     r       4.6
8.925E+08    2.580E-11    7.795E+27    2.549E+04    3.400E+03    9.650E-06    3.499E+00    1.762E-55     r       4.6
