M     Rho           Eps           P             T	Teff	L
0.5     7.252e+03     7.839e-02     5.740e+15     5.912e+07	2194.136	0.01792
0.7     3.204e+03     6.503e-01     8.643e+15     2.015e+08	3348.484	0.11108
0.75     8.331e+03     2.073e-01     9.665e+15     8.663e+07	3667.339	0.16254
0.8     2.273e+03     1.982e+00     1.014e+16     3.330e+08	3953.750	0.22679
0.9     2.892e+03     3.039e+00     1.172e+16     3.025e+08	4577.632	0.42391
1     4.910e+03     6.540e-01     1.429e+16     2.172e+08	5276.506	0.75690
2     7.102e+03     5.160e+00     1.840e+16     1.930e+08	10794.976	20.30583
4     1.230e+04     3.245e+01     9.711e+15     5.826e+07	17366.074	320.47930
6     1.562e+04     3.997e+01     6.352e+15     2.952e+07	21773.972	1320.60176
8     2.941e+04     6.436e+01     4.731e+15     1.142e+07	25060.429	3318.34134
10     3.168e+04     4.802e+01     3.839e+15     8.376e+06	27682.709	6487.24318
